,Endothelial cells,Fibroblasts,PVL,B cells,PCs,T cells CD8,T cells CD4,NK cells,Monocytes and Macrophages,Dendritic cells,Epithelial cells
0,0.04184365272521973,0.025381742045283318,0.008255966007709503,0.05162816867232323,0.03929179906845093,0.07314252853393555,0.07989043742418289,0.4283914864063263,0.051139842718839645,0.05116678774356842,0.14986762404441833
1,0.020549099892377853,0.03634588047862053,0.03430335596203804,0.19974885880947113,0.10700598359107971,0.09385992586612701,0.009785347618162632,0.002887787064537406,0.20973527431488037,0.07361221313476562,0.21216626465320587
2,0.020330453291535378,0.08526509255170822,0.01790148764848709,0.015527804382145405,0.375248521566391,0.015650806948542595,0.010879194363951683,0.018544549122452736,0.008576090447604656,0.18668456375598907,0.2453913390636444
3,0.07207846641540527,0.08230625092983246,0.006800365634262562,0.013640211895108223,0.04068990424275398,0.13910311460494995,0.05022985488176346,0.03605399280786514,0.45729368925094604,0.06733094155788422,0.03447321057319641
4,0.0696786493062973,0.19690115749835968,0.07234324514865875,0.1758100986480713,0.08904597163200378,0.20689836144447327,0.011506229639053345,0.027440520003437996,0.022928394377231598,0.07701467722654343,0.050432633608579636
5,0.056155718863010406,0.11290159821510315,0.0027576028369367123,0.00038761302130296826,0.2091693878173828,0.3452673852443695,0.014943750575184822,0.09377054870128632,0.054868295788764954,0.0944330021739006,0.015345092862844467
6,0.012087825685739517,0.07454167306423187,0.018121911212801933,0.008736335672438145,0.15956521034240723,0.14998668432235718,0.08836603909730911,0.05026673898100853,0.0464591458439827,0.3706482946872711,0.021220138296484947
7,0.054270628839731216,0.14864876866340637,0.009539413265883923,0.19476735591888428,0.07759395986795425,0.00448228046298027,0.3969724178314209,0.014206916093826294,0.04912803694605827,0.04548308253288269,0.004907157272100449
8,0.0493503212928772,0.041629668325185776,0.07246328145265579,0.10261457413434982,0.11406262964010239,0.4044055640697479,0.015979208052158356,0.04074472188949585,0.025015154853463173,0.03988340124487877,0.09385143965482712
9,0.018992846831679344,0.14246167242527008,0.0754941999912262,0.19967348873615265,0.3703456223011017,0.0171972643584013,0.012873819097876549,0.06339666992425919,0.029164521023631096,0.046082839369773865,0.024317072704434395
10,0.10064104944467545,0.029260367155075073,0.02118200995028019,0.10831733047962189,0.03583163395524025,0.003091949038207531,0.061722420156002045,0.0265464186668396,0.01893431507050991,0.0697069838643074,0.5247654914855957
11,0.02245599962770939,0.16618357598781586,0.19171638786792755,0.05954623222351074,0.07809077203273773,0.033019058406353,0.05732405185699463,0.06715183705091476,0.021436331793665886,0.1135648787021637,0.18951086699962616
