,L2/3 IT CTX-1,L4/5 IT CTX,L5 IT CTX,L5 NP CTX,L5 PT CTX,L6 CT CTX,L6 IT CTX,L6b CTX,Lamp5,Sst,Vip
11600_41200,2.73E-02,1.96E-02,1.52E-01,3.40E-02,3.06E-02,6.90E-02,4.53E-01,1.84E-02,5.74E-02,1.02E-01,3.69E-02
11600_42000,4.63E-02,3.10E-02,1.67E-01,6.54E-02,3.75E-02,1.21E-01,2.74E-01,2.64E-02,5.74E-02,1.21E-01,5.29E-02
11600_42800,4.01E-02,2.14E-02,1.79E-01,4.34E-02,3.11E-02,1.50E-01,2.81E-01,1.86E-02,6.74E-02,1.08E-01,5.99E-02
11600_43600,8.54E-02,2.15E-02,1.85E-01,5.38E-02,3.36E-02,2.72E-01,9.87E-02,1.77E-02,3.83E-02,1.09E-01,8.45E-02
11600_44400,1.62E-01,5.93E-02,2.55E-01,1.63E-02,5.53E-02,1.75E-02,5.24E-02,2.48E-03,5.72E-02,8.80E-02,2.35E-01
12400_20400,1.55E-01,4.82E-02,9.60E-02,8.04E-02,3.63E-02,1.65E-01,7.44E-02,1.86E-02,6.95E-02,1.36E-01,1.21E-01
12400_22000,9.00E-02,1.07E-01,1.14E-01,1.21E-01,4.19E-02,5.39E-02,5.42E-02,8.94E-03,1.62E-01,5.64E-02,1.91E-01
12400_22800,4.60E-02,1.20E-01,8.62E-02,7.22E-02,3.67E-02,1.78E-02,1.25E-01,3.69E-03,1.80E-01,7.25E-02,2.39E-01
12400_24400,8.00E-02,8.50E-02,1.23E-01,5.24E-02,4.25E-02,2.73E-02,1.15E-01,3.41E-03,7.36E-02,7.16E-02,3.26E-01
12400_25200,1.20E-01,4.98E-02,1.14E-01,7.10E-02,2.74E-02,8.06E-02,1.20E-01,7.25E-03,2.08E-01,9.73E-02,1.04E-01
12400_26000,6.69E-02,8.32E-02,8.19E-02,8.31E-02,2.84E-02,1.82E-02,7.58E-02,4.55E-03,3.79E-01,4.36E-02,1.36E-01
12400_26800,1.24E-03,2.43E-02,7.97E-03,6.59E-03,3.57E-03,9.52E-04,5.12E-03,3.27E-04,8.94E-01,3.19E-02,2.40E-02
12400_27600,3.16E-02,6.54E-02,1.14E-01,4.10E-02,4.98E-02,3.19E-02,1.67E-01,9.92E-03,1.10E-01,2.35E-01,1.44E-01
12400_28400,1.46E-02,4.15E-02,6.73E-02,1.86E-02,2.55E-02,8.74E-03,8.45E-02,3.00E-03,2.46E-01,4.12E-01,7.79E-02
12400_29200,6.22E-02,6.24E-02,8.81E-02,8.77E-02,2.65E-02,9.28E-02,7.87E-02,8.62E-03,2.76E-01,1.13E-01,1.03E-01
12400_30000,1.89E-02,5.58E-02,1.52E-01,2.37E-02,4.80E-02,1.80E-02,1.16E-01,6.59E-03,1.77E-01,2.96E-01,8.84E-02
12400_30800,1.32E-02,1.61E-01,8.15E-02,2.28E-02,5.02E-02,6.73E-03,3.23E-02,2.65E-03,6.51E-02,2.01E-01,3.64E-01
12400_31600,3.54E-02,3.20E-02,2.14E-01,5.18E-02,4.68E-02,8.31E-02,3.09E-01,2.55E-02,4.20E-02,9.34E-02,6.78E-02
12400_32400,1.07E-02,4.80E-02,2.34E-01,3.22E-02,6.87E-02,2.61E-02,2.89E-01,1.62E-02,3.57E-02,1.36E-01,1.04E-01
12400_33200,4.63E-02,6.12E-02,1.63E-01,5.08E-02,5.18E-02,6.32E-02,1.81E-01,1.20E-02,7.49E-02,1.56E-01,1.40E-01
12400_34000,7.65E-02,6.21E-02,2.15E-01,6.67E-02,6.53E-02,6.56E-02,1.15E-01,1.22E-02,3.77E-02,1.07E-01,1.76E-01
12400_34800,2.43E-02,2.60E-02,4.51E-01,1.71E-02,5.57E-02,2.15E-02,1.83E-01,7.10E-03,3.46E-02,1.18E-01,6.20E-02
12400_35600,2.08E-02,4.12E-02,3.82E-01,1.96E-02,6.51E-02,1.68E-02,1.36E-01,7.69E-03,3.65E-02,1.85E-01,8.93E-02
12400_36400,9.98E-03,3.82E-02,2.67E-01,1.73E-02,5.29E-02,1.32E-02,1.53E-01,5.50E-03,5.78E-02,2.92E-01,9.39E-02
12400_37200,1.52E-02,3.79E-02,2.09E-01,3.17E-02,5.17E-02,3.77E-02,2.38E-01,1.19E-02,6.17E-02,2.19E-01,8.67E-02
12400_38000,3.74E-02,3.49E-02,2.77E-01,5.72E-02,4.64E-02,1.05E-01,1.75E-01,1.78E-02,4.68E-02,1.21E-01,8.09E-02
12400_38800,4.41E-03,3.35E-02,1.68E-01,1.46E-02,4.59E-02,1.15E-02,2.51E-01,5.52E-03,7.63E-02,2.92E-01,9.71E-02
12400_39600,1.24E-02,2.52E-02,1.64E-01,2.21E-02,4.10E-02,3.38E-02,4.25E-01,1.25E-02,5.54E-02,1.44E-01,6.38E-02
12400_40400,9.14E-02,4.63E-02,1.58E-01,9.08E-02,3.81E-02,1.54E-01,1.38E-01,2.03E-02,7.85E-02,1.05E-01,7.99E-02
12400_41200,3.47E-02,3.10E-02,1.61E-01,4.62E-02,4.44E-02,9.52E-02,2.77E-01,2.11E-02,4.98E-02,1.69E-01,7.05E-02
