,B,T,Mal,CAF,Macro,Endo,NK
22x10,1.15E-01,3.73E-01,4.03E-01,2.19E-02,4.60E-02,2.10E-02,2.08E-02
22x11,9.15E-02,3.08E-01,4.79E-01,2.16E-02,5.22E-02,2.36E-02,2.41E-02
22x12,1.05E-01,3.47E-01,4.35E-01,2.15E-02,4.81E-02,2.18E-02,2.19E-02
22x13,1.24E-01,3.44E-01,3.84E-01,3.03E-02,5.90E-02,2.96E-02,2.97E-02
22x14,1.67E-01,4.43E-01,2.74E-01,2.82E-02,4.45E-02,2.24E-02,2.11E-02
22x15,1.35E-01,3.75E-01,3.52E-01,2.96E-02,5.45E-02,2.75E-02,2.66E-02
22x16,1.30E-01,3.36E-01,3.68E-01,3.43E-02,6.37E-02,3.38E-02,3.29E-02
22x17,1.28E-01,3.70E-01,3.71E-01,2.74E-02,5.25E-02,2.59E-02,2.53E-02
22x18,1.33E-01,3.56E-01,3.58E-01,3.23E-02,5.94E-02,3.06E-02,3.02E-02
22x19,1.57E-01,4.50E-01,2.85E-01,2.58E-02,4.21E-02,2.05E-02,1.96E-02
22x20,1.48E-01,3.87E-01,3.20E-01,3.24E-02,5.60E-02,2.89E-02,2.78E-02
22x21,1.51E-01,3.89E-01,3.15E-01,3.27E-02,5.52E-02,2.88E-02,2.79E-02
22x22,2.02E-01,4.85E-01,2.05E-01,3.06E-02,3.86E-02,2.02E-02,1.94E-02
22x23,1.97E-01,5.43E-01,1.86E-01,2.09E-02,2.77E-02,1.31E-02,1.22E-02
22x24,1.73E-01,4.64E-01,2.55E-01,2.70E-02,4.11E-02,2.06E-02,1.92E-02
22x25,1.98E-01,4.98E-01,2.10E-01,2.58E-02,3.53E-02,1.77E-02,1.63E-02
22x26,2.18E-01,5.39E-01,1.64E-01,2.34E-02,2.81E-02,1.40E-02,1.30E-02
22x27,2.35E-01,5.96E-01,1.17E-01,1.75E-02,1.85E-02,8.86E-03,7.92E-03
23x7,9.26E-02,3.13E-01,4.72E-01,2.18E-02,5.26E-02,2.37E-02,2.41E-02
23x8,1.21E-01,3.67E-01,3.87E-01,2.55E-02,5.07E-02,2.41E-02,2.43E-02
23x9,1.15E-01,3.50E-01,4.06E-01,2.56E-02,5.28E-02,2.52E-02,2.54E-02
23x10,1.01E-01,3.42E-01,4.48E-01,2.05E-02,4.68E-02,2.09E-02,2.12E-02
23x11,1.32E-01,4.36E-01,3.41E-01,1.99E-02,3.76E-02,1.69E-02,1.64E-02
23x12,1.01E-01,3.20E-01,4.50E-01,2.37E-02,5.44E-02,2.53E-02,2.55E-02
23x13,1.23E-01,3.76E-01,3.79E-01,2.50E-02,4.98E-02,2.35E-02,2.33E-02
23x14,1.10E-01,3.17E-01,4.22E-01,2.90E-02,6.13E-02,3.05E-02,3.05E-02
23x15,1.32E-01,3.64E-01,3.62E-01,2.98E-02,5.63E-02,2.85E-02,2.75E-02
23x16,1.27E-01,3.69E-01,3.77E-01,2.62E-02,5.17E-02,2.49E-02,2.44E-02
23x17,1.29E-01,3.72E-01,3.70E-01,2.69E-02,5.20E-02,2.54E-02,2.48E-02
23x18,1.07E-01,2.86E-01,4.32E-01,3.28E-02,7.00E-02,3.65E-02,3.63E-02
23x19,1.72E-01,4.50E-01,2.63E-01,2.86E-02,4.39E-02,2.24E-02,2.09E-02
23x20,1.97E-01,4.89E-01,2.14E-01,2.71E-02,3.72E-02,1.89E-02,1.75E-02
23x21,2.16E-01,5.46E-01,1.62E-01,2.27E-02,2.73E-02,1.35E-02,1.24E-02
23x22,2.15E-01,5.42E-01,1.64E-01,2.37E-02,2.84E-02,1.42E-02,1.31E-02
23x23,2.26E-01,6.06E-01,1.16E-01,1.72E-02,1.84E-02,8.84E-03,7.73E-03
23x24,1.96E-01,5.68E-01,1.70E-01,1.95E-02,2.50E-02,1.19E-02,1.06E-02
