,Vip,L5 NP CTX,L4/5 IT CTX,Sst,L5 IT CTX,Lamp5,L2/3 IT CTX-1,L5 PT CTX,L6 CT CTX,L6 IT CTX,L6b CTX
0,0.08847316354513168,0.05228675529360771,0.057275768369436264,0.3992660641670227,0.027986526489257812,0.2582220733165741,0.0379398837685585,0.033562809228897095,0.009035315364599228,0.011921226046979427,0.024030378088355064
1,0.07552647590637207,0.17152521014213562,0.1144270971417427,0.025301113724708557,0.03594737872481346,0.11484967917203903,0.18824179470539093,0.04376541078090668,0.010596352629363537,0.028075262904167175,0.19174428284168243
2,0.079933300614357,0.34271788597106934,0.00900461059063673,0.0245408546179533,0.055723994970321655,0.3204468786716461,0.011213126592338085,0.011995131149888039,0.01566854864358902,0.045055631548166275,0.08370006084442139
3,0.059691205620765686,0.4337608814239502,0.0389094315469265,0.033314723521471024,0.023446353152394295,0.07408014684915543,0.014712861739099026,0.027333863079547882,0.012295147404074669,0.017798209562897682,0.26465708017349243
4,0.15330950915813446,0.20791856944561005,0.09297554939985275,0.06402886658906937,0.07772944867610931,0.048758212476968765,0.22190187871456146,0.07192769646644592,0.01808045618236065,0.030409084632992744,0.01296080183237791
5,0.05207687243819237,0.011964341625571251,0.0021276369225233793,0.09217514842748642,0.004617593716830015,0.4000510573387146,0.007876226678490639,0.0059304735623300076,0.0028211267199367285,0.0018191579729318619,0.4185403287410736
6,0.15399989485740662,0.012946244329214096,0.038273558020591736,0.5190549492835999,0.027147427201271057,0.09326492995023727,0.07319818437099457,0.023538580164313316,0.018676776438951492,0.014569630846381187,0.02532980404794216
7,0.15307724475860596,0.03717358037829399,0.020767593756318092,0.04916655272245407,0.04243840277194977,0.031563419848680496,0.03143535181879997,0.01635466329753399,0.17542985081672668,0.05564656853675842,0.38694679737091064
8,0.09963588416576385,0.00980960763990879,0.010630108416080475,0.008098883554339409,0.02291707694530487,0.00930965319275856,0.030379213392734528,0.017437631264328957,0.678989052772522,0.02747567743062973,0.08531729131937027
9,0.11142657697200775,0.024645058438181877,0.017657285556197166,0.05241077020764351,0.0387900210916996,0.035960931330919266,0.10804609209299088,0.0309824850410223,0.3673717975616455,0.028285343199968338,0.1844235211610794
10,0.11550788581371307,0.08974958211183548,0.02744661457836628,0.02150139957666397,0.1018776148557663,0.06116020306944847,0.06264675408601761,0.03709496185183525,0.2688009738922119,0.10093093663454056,0.11328307539224625
11,0.05961087718605995,0.13210976123809814,0.027591880410909653,0.19942913949489594,0.11813464015722275,0.05698678269982338,0.06405572593212128,0.03365474194288254,0.09345395863056183,0.06014591082930565,0.15482667088508606
12,0.04395128786563873,0.21594926714897156,0.018434181809425354,0.01480287965387106,0.04611482098698616,0.055725857615470886,0.1469843089580536,0.16073943674564362,0.025307195261120796,0.029336458072066307,0.2426542043685913
13,0.011629811488091946,0.05004817619919777,0.01742222160100937,0.004187857732176781,0.0034027162473648787,0.07185223698616028,0.24453791975975037,0.10737006366252899,0.002668447094038129,0.006093556061387062,0.4807870090007782
14,0.07729139924049377,0.2360643446445465,0.005900801625102758,0.043620504438877106,0.01956617832183838,0.3005196154117584,0.008181536570191383,0.026486890390515327,0.04337542504072189,0.008031506091356277,0.23096178472042084
15,0.09329190850257874,0.1292942315340042,0.02931375615298748,0.1503513753414154,0.07340767979621887,0.03878682851791382,0.10998604446649551,0.06864475458860397,0.030362794175744057,0.09702596813440323,0.17953471839427948
16,0.01420576497912407,0.020250558853149414,0.7882125973701477,0.024082008749246597,0.004083514679223299,0.004496580455452204,0.05424892157316208,0.004248226992785931,0.014238200150430202,0.03545045480132103,0.03648305684328079
