,B,CAF,Endo,Macro,Mal,NK,T
15x13,0.9983147,8.666978e-05,9.1569884e-05,0.0006054348,0.000671606,0.00013773306,9.231327e-05
15x14,0.78689593,0.00070288795,0.2086182,8.084297e-05,0.0029292665,0.0007467075,2.6066195e-05
15x15,0.000110802604,5.9880553e-05,0.1177952,0.004174977,0.49413824,2.9147117e-05,0.3836917
15x16,0.0010134858,0.17687444,0.15746728,0.6516425,0.01279652,6.4509746e-05,0.00014122966
15x17,0.18593206,0.1854428,0.1654301,0.22118418,0.09489029,0.0016072729,0.14551328
15x18,0.24994187,0.14093347,0.010925648,0.17809483,0.38893992,0.00024803905,0.030916173
16x3,0.43801054,0.022239914,2.786359e-05,0.30067337,0.112447634,0.12656425,3.6432655e-05
16x4,0.050877992,2.122271e-05,0.11685302,0.40992847,2.8887605e-05,0.2182518,0.20403863
16x5,0.10241072,0.12162681,0.0845705,0.24140139,0.3197998,0.054212324,0.07597847
16x6,3.4885186e-05,1.784423e-05,4.3230473e-05,0.99844575,0.0013597513,2.3986713e-05,7.4572614e-05
16x7,4.5124387e-05,0.0004070436,0.00013011375,0.9991389,0.00016370241,3.8388574e-05,7.6701624e-05
16x8,2.0454565e-05,0.14009933,0.25332215,0.41178516,0.15779236,2.7440301e-05,0.036953077
16x9,0.020577395,0.08468833,0.029364314,0.09218695,0.05350755,0.025095904,0.69457954
16x10,0.00016290642,0.99538094,0.00026172405,0.0029913217,0.000711625,0.00021749138,0.00027404976
16x11,0.6892814,0.0071476046,0.008115077,0.0990996,0.17575729,0.010808355,0.009790738
16x12,0.028029012,0.082091615,0.05600001,0.17369285,0.5683174,0.046152454,0.04571671
16x13,0.26951534,5.937884e-05,1.2262505e-05,0.7302569,9.500767e-05,1.0170532e-05,5.0916587e-05
16x14,0.7581098,6.2885716e-05,2.5094394e-05,0.0014915545,0.23943354,3.863196e-05,0.0008384806
16x15,6.9426285e-05,0.00015840883,8.9693465e-05,0.21785073,0.78171366,5.264649e-05,6.551448e-05
16x16,0.25483084,0.03287462,0.08986588,0.22862254,0.24345075,0.07630524,0.07405015
16x17,0.17087464,0.21548596,0.16183077,0.20686717,0.16328822,0.02211805,0.059535213
16x18,0.11813496,0.26255944,0.18931144,0.10183679,0.0001859608,0.19022292,0.13774845
16x19,0.214403,0.124392144,0.30956554,4.495658e-06,0.2585,2.6695745e-05,0.0931081
17x4,3.0204812e-05,0.08655998,0.00041106882,0.73057413,1.4206326e-05,0.1605343,0.0218761
17x5,3.5231686e-05,9.1749345e-05,3.8906608e-05,0.8590176,6.8222624e-05,0.14071663,3.162054e-05
17x6,0.5975643,2.8584302e-05,2.9821627e-05,0.40218168,8.189577e-05,5.2173953e-05,6.15246e-05
17x7,6.4075043e-06,0.07193389,9.8229275e-06,0.69909286,0.22888999,4.188989e-05,2.5156382e-05
17x8,0.00036738906,1.4310899e-05,2.2619075e-05,0.64929813,0.14930746,0.00016506009,0.20082498
17x9,0.027620051,0.03257277,0.022401575,0.7294998,0.10618907,0.043804556,0.037912227
17x10,0.035659187,0.03902822,0.026273813,0.07024313,0.7415237,0.043439083,0.043832894
17x11,0.018397802,0.034718186,0.02840809,0.039330598,0.8177691,0.031981412,0.029394776
17x12,2.3703702e-05,0.15518814,0.06754725,4.2861793e-05,0.13995136,0.13461824,0.50262845
17x13,5.8684007e-05,0.100234956,5.3587566e-05,0.000103434315,0.8993708,3.8999602e-05,0.00013953996
17x14,0.00046622378,0.09085651,0.76622635,0.0013226435,0.13776511,0.0022522113,0.0011109203
17x15,0.30312243,0.06383195,0.2082358,0.042392697,0.25379053,0.00033089065,0.12829567
17x16,0.35441923,0.19613436,0.44917744,5.048536e-06,7.615822e-06,1.5161523e-06,0.00025478046
17x17,4.527518e-06,0.33686024,0.15732408,0.07639634,0.09925932,0.23881392,0.09134157
17x18,0.17165631,0.17389059,0.18200825,6.1131022e-06,0.25225964,1.3954433e-05,0.22016507
17x19,0.14879374,0.2103245,0.017499873,0.25342026,0.18725131,0.18269151,1.8894172e-05
17x20,7.367012e-05,0.19795278,0.31086352,0.26706177,0.1290189,0.025437152,0.069592185
17x21,1.0696657e-05,0.28241473,0.22891046,0.13486011,0.08783576,0.14799787,0.11797041
18x4,2.3350822e-05,0.1386813,0.32679448,0.18970649,0.00032866196,0.34444758,1.8123847e-05
18x5,4.6931827e-06,0.2605771,0.0033294049,0.626904,0.10123079,0.00793319,2.078118e-05
18x6,0.9962454,0.00041439245,0.00011390608,0.001294407,0.00023654272,0.001460516,0.0002348608
18x7,0.11509907,0.1172645,0.15052265,0.18536875,0.2059022,0.07320998,0.15263289
18x8,0.082566656,0.10326516,0.09178782,0.33643618,0.18819381,0.080837175,0.11691319
18x9,0.054871175,0.08143821,0.06568082,0.4211984,0.2182682,0.06801429,0.09052891
18x10,0.040649705,0.04903138,0.03610689,0.05577616,0.74562794,0.031927362,0.0408805
18x11,0.06117978,0.08478992,0.05608884,0.111686975,0.45756343,0.07841203,0.15027907
18x12,2.0324107e-05,0.5171897,0.14962478,0.033699296,0.29942763,1.366129e-05,2.4762965e-05
18x13,0.00015443662,0.1447523,9.244672e-05,6.280408e-05,0.85482746,3.8702903e-05,7.180021e-05
18x14,0.08502895,0.004254528,0.011926268,0.3487541,0.53162026,0.004736491,0.013679432
18x15,0.38698825,1.8769399e-05,0.1124033,0.24497594,0.17480958,1.4609433e-05,0.08078953
18x16,0.26074186,0.11095696,0.27309567,0.22906001,0.02328509,0.03171388,0.07114656
18x17,0.06037117,0.27278405,0.18795249,0.038101323,0.30932164,0.08132188,0.050147425
18x18,0.078714915,0.34111106,0.37181807,0.07221552,0.025756897,0.10394938,0.00643415
18x19,0.035765998,0.23475361,0.40591726,0.15250522,7.4350946e-06,7.8059375e-06,0.17104271
18x20,0.084135376,0.13705975,0.23947059,0.1483937,0.2404734,0.12106268,0.029404499
18x21,0.16200928,0.11332008,0.23488373,0.12476419,0.12625314,0.16203323,0.0767364
18x22,0.060237974,0.15657884,0.1997376,0.11859661,0.1652448,0.13112251,0.16848168
18x23,0.0002173478,0.21675166,0.23226531,0.13412972,0.04246595,0.082842395,0.29132757
18x24,0.07122584,0.11310357,0.21032496,0.16664535,3.5760946e-05,0.32479584,0.1138687
19x4,0.04186842,9.472975e-05,1.8147148e-05,0.80227923,8.120083e-06,0.15571187,1.953358e-05
19x5,0.2530408,1.3284148e-05,1.9180168e-05,0.020565303,0.16772379,0.0017596489,0.556878
19x6,0.0825269,0.09011071,0.1282343,0.15335391,0.28115943,0.125583,0.13903174
19x7,0.0010126501,0.001293842,0.0008434235,0.004055487,0.99054015,0.0010333222,0.0012211064
19x8,0.06439217,0.087542586,0.0835326,0.09680071,0.47415027,0.09601051,0.09757117
19x9,0.077219166,0.13289225,0.12868129,0.13433668,0.33604473,0.08043482,0.110391006
19x10,0.08388007,0.16055177,0.09734703,0.11341883,0.37605354,0.0759352,0.09281357
19x11,0.06328961,0.07439524,0.09329095,0.09930326,0.51330215,0.06758897,0.088829726
19x12,4.036316e-05,6.529919e-05,9.7475415e-05,0.9989331,0.00073336787,5.2142223e-05,7.828297e-05
19x13,0.00011387016,0.00010538287,6.735925e-05,8.265383e-05,0.9995507,2.5706888e-05,5.4336433e-05
19x14,0.99903136,4.1588853e-05,0.000121319594,0.00020266967,0.00052484055,2.7904825e-05,5.0261126e-05
19x15,0.14219055,8.1719714e-05,0.23096445,0.33458868,0.1916481,0.07332281,0.027203657
19x16,0.32014793,0.09048064,0.33459416,0.058634248,0.04170332,0.058504228,0.095935374
19x17,0.000110909954,0.4315317,0.4588801,0.00060086814,0.10882118,1.3606016e-05,4.1664378e-05
19x18,0.12679748,0.21818458,0.32858163,0.2725502,1.4312035e-05,4.261623e-06,0.05386758
19x19,0.17765608,0.22230473,0.19459565,0.120730005,0.08061092,0.09816832,0.10593431
19x20,0.20933104,0.25761718,0.28002104,0.048054397,0.16229086,0.003385938,0.03929953
19x21,0.13072093,0.13419995,0.1408007,0.15900092,0.14560306,0.14656782,0.14310665
19x22,0.09239287,0.2881005,0.20894597,0.040567063,0.16880211,0.20118311,8.324754e-06
19x23,0.11279221,0.14532755,0.14523458,0.1753164,0.17940235,0.16999547,0.07193146
19x24,0.12775446,0.10976389,0.3423485,0.04159599,0.107733004,0.17404693,0.09675726
19x25,0.20007937,0.07858256,0.32012957,1.8402405e-05,0.37877813,1.2863984e-05,0.022398971
19x26,0.0028136075,0.285381,0.24589771,1.0613897e-05,0.34653342,2.2418095e-05,0.1193412
19x27,0.09829925,0.027776264,0.49713916,2.4970816e-05,0.37662318,0.00010509893,3.2092623e-05
19x28,0.10971122,0.37000054,0.31989345,4.511703e-05,0.028944924,0.17124298,0.00016181922
20x5,7.649843e-06,0.0009284224,3.412007e-05,0.34670058,1.4312322e-05,0.6522877,2.7222177e-05
20x6,0.0026110904,0.00037637787,0.0003234488,0.0004586593,0.99555117,0.0004068286,0.00027244398
20x7,0.023696333,0.07048064,0.054408614,0.049818825,0.6921739,0.041862655,0.067559026
20x8,0.0020205784,0.004755456,0.0056117084,0.9179252,0.012167982,0.004412809,0.05310623
20x9,0.004385291,0.00029256596,0.00010013538,0.98718107,0.00035816449,0.00013074471,0.007552077
20x10,0.050638065,0.104961626,0.056514993,0.05856051,0.6130438,0.058485106,0.057795934
20x11,0.9012999,7.385424e-05,6.6567714e-05,6.994333e-05,6.268759e-05,0.09412627,0.00430064
20x12,6.0665784e-06,0.1344232,0.52820987,1.5383104e-05,0.33731046,2.0264522e-05,1.4757543e-05
20x13,0.35553256,0.009989059,0.16817021,0.13993885,0.006991058,0.1681751,0.15120319
20x14,2.7171483e-05,0.14542897,0.057122298,0.33829546,0.31014395,0.14814638,0.00083581795
20x15,0.27154046,0.09895296,0.24920008,0.34983987,0.030383244,6.16764e-05,2.1709537e-05
20x16,0.00030937878,0.15518664,0.30138168,0.08211996,0.16464786,0.071998015,0.22435649
20x17,0.0058283242,0.25009286,0.28888738,0.2603391,0.048086483,0.14601733,0.00074854295
20x18,4.083286e-06,0.18189731,0.60635686,7.2910816e-06,0.10001152,0.05821418,0.053508744
20x19,0.11892946,0.12795687,0.30161655,0.16620371,0.13977396,0.0636994,0.08181999
20x20,0.3154839,0.20282082,0.11909563,0.061536722,0.19953908,1.0334967e-05,0.10151358
20x21,0.4252675,0.06931028,0.15723039,5.4040256e-06,0.09910059,0.12562443,0.12346144
20x22,0.33802333,0.19629228,0.2072031,0.052729923,0.046093635,0.087153286,0.07250443
20x23,0.12439493,0.1142891,0.18933044,0.0323932,0.16565184,0.2220223,0.15191826
20x24,0.0701815,0.13942902,0.2594982,2.3655018e-06,0.22752601,0.06111412,0.2422488
20x25,0.22468442,0.16159755,0.12225492,1.3387058e-05,0.33196777,0.15914965,0.00033232075
20x26,0.16247535,0.31313002,0.22289601,3.8129754e-05,0.101063795,0.14766829,0.052728478
20x27,0.079849094,0.31069034,0.31524244,0.17740017,0.11671471,9.2826995e-05,1.0417839e-05
20x28,1.8979621e-05,0.16080892,0.294029,0.06615567,0.292363,0.11055377,0.076070584
21x6,0.100660615,0.16373363,0.08549319,0.23120081,0.18261456,0.09204673,0.14425044
21x7,0.11316233,0.3157428,0.08488054,0.108980864,0.16282752,0.102902964,0.11150308
