"","cell_ID","Inhibitory Vip","Inhibitory Other","Inhibitory Sst","Inhibitory Pvalb","Endo","Other","Excitatory L6","Excitatory L2/3","Neuron Other","Excitatory L5","Excitatory L4","Olig","Astro","Micro","Smc"
"1","0x0",0.110178542301476,0.060605165510608,0.204832199528454,0.0264048183851878,0,0,0,0.388049205157433,0,0,0.0946617160999366,0,0.115268353016904,0,0
"2","0x1",0.105006123811668,0.0600968950717028,0.100747390627709,0.0486624818865415,0,0,0,0.394829864876536,0,0.0729385877697008,0,0.0773452837728702,0.140373372183272,0,0
"3","0x2",0,0,0,0,0,0.0581666966701818,0,0,0,0,0,0.619683571794207,0.17972345351748,0,0.142426278018131
"4","0x3",0,0,0,0,0,0,0,0,0,0,0,0.525526583129543,0.34986391603803,0,0.124609500832427
"5","0x4",0.0853817877400951,0,0.177359127277627,0,0,0,0.17380464498917,0.475491636212171,0.0879628037809367,0,0,0,0,0,0
"6","0x5",0.0527234869900285,0,0.0013248207994218,0.131505216786122,0,0,0.25078243121445,0.406133268870978,0.0343907002374789,0.0596744514763915,0,0,0.0634656236251292,0,0
"7","0x6",0,0.0916312772905873,0,0.040148847951823,0,0,0.104317530037179,0.704059165272157,0,0,0,0,0.0598431794482543,0,0
"8","0x7",0.0630047796633116,0,0,0,0,0,-1.04882339962523e-19,0.520606913580735,0.101098373113897,0.247087201861586,0,0,0.0682027317804702,0,0
"9","0x8",0,0,0,0.0996175623836812,0,0,-8.96697448399864e-20,0.581618183636704,0.113124091564723,0.121937233934422,0,0.0837029284804695,0,0,0
"10","0x9",0,0,0,0.102761551052693,0,0,0,0.547213648041705,0.0976672843612806,0.155306836758569,0,0,0.0970506797857526,0,0
"11","0x10",0.0915558735121967,0.0617120904417843,0,0.0610345999883287,0,0,0,0.376688415838871,0.0893515906977184,0.270888926374179,0,0,0.0487685031469222,0,0
"12","0x11",0,0,0.110440144975183,0.0546764979834019,0,0,0,0.355961437757853,0,0.190870753107826,0.185664562064712,0,0.0601498863227153,0,0.0422367177883095
"13","0x12",0.0549961308116566,0,0,0.0824058341850861,0,0,0,0.414418646489573,0.071625433963612,0.106193954356173,0.218666974905964,0,0.0516930252879348,0,0
"14","0x13",0.11315454100032,0,0,0,0,0,0.0220069896468941,0.524772938979597,0,0.159815178003993,0.180250352369195,0,0,0,0
"15","0x14",0,0,0.279234593120043,0,0,0,0,0.637972180715795,0,0,0.0434027645051624,0,0,0,0.0393904616589996
"16","0x15",0,0,0,0,0,0,0,0.88396557421566,0.00537301307607478,9.9015197867543e-23,0.0302196056429534,0,0.0804418070653119,0,0
"17","0x16",0.0869296570426251,0,0,0,0,0,0.0816817056762941,0.604979382373643,0.12622610993688,0,0,0,0.100183144970558,0,0
"18","0x17",0.144193265424198,0,0,0,0,0,0,0.485545264805366,0.166410194472744,0.100286867286063,0.103564408011629,0,0,0,0
"19","0x18",0.180040625788194,0,0,0,0,0,0,0.413306750054487,0,0,0,0,0.0931280850434063,0.251866704584043,0.0616578345298702
"20","1x0",0.350348950798121,0.0855785339517587,0,0.0504164167606679,0,0,0,0.239835897914408,0,0.116270840686375,0,0,0.15754935988867,0,0
"21","1x1",0.0768009302752071,0.0625246386865897,0.184551469206089,0.0513194033226159,0,0,0,0.285465529403239,0.0344255245806396,0.0731458225433919,0,0.0798946761776017,0.151872005804627,0,0
"22","1x2",0,0,0,0,0,0.101602786357726,0,0,0,0,0,0.612374501448156,0.213812884238415,0,0.0722098279557035
"23","1x3",0,0,0,0,0,0,0,0,0,0,0,0.724171307461201,0.120069621371848,0,0.155759071166951
"24","1x4",0.064702899385676,0,0,0.0708789652082739,0,0,0.178402143477084,0.495492351673919,0.117693336401885,0,0,0,0.0728303038531625,0,0
"25","1x5",0.0795738580951441,0,0.142626520334782,0,0,0,0.125048425701135,0.603462915541167,0,0,0,0,0.0492882803277714,0,0
"26","1x6",0,0,0,0.0472392998891214,0,0,0.195278221541203,0.546950419367687,0.0623667451595237,0.148165314042465,0,0,0,0,0
"27","1x7",0,0,0,0.0495220055097791,0,0,0,0.713559687494014,0,0.236918306996207,0,0,0,0,0
"28","1x8",0,0.0704620584927963,0.0662427792085461,0,0,0,0,0.549236245280472,0.0774493354191751,0.177221122922528,0,0,0.0593884586764824,0,0
"29","1x9",0,0.0816915180585749,0.188199159878796,0,0,0,0,0.353093155636046,0.0977677507355085,0.0975755856327033,0,0.107543565441748,0.0741292646166229,0,0
"30","1x10",0.143726359637134,0,0,0,0,0,0,0.399624646556038,0.0924779966954497,0.137870615837442,0.133260096375228,0,0.0930402848987088,0,0
"31","1x11",0.0391258186564813,0,0,0.174611587522508,0,0,0,0.366417524737225,0.0673539113078287,0.151430699624057,0.144653412192151,0,0.056407045959749,0,0
"32","1x12",0,0,0,0.123351398877981,0.103433206721548,0,0,0.484866841331424,0,0.133095970528339,0.084968345900664,0,0.0702842366400428,0,0
"33","1x13",0,0,0,0.15401009871679,0.058400238101079,0,0,0.56847624974779,0,0,0.147480597602677,0,0.0716328158316646,0,0
"34","1x14",0.0909667087730993,0,0,0,0,0,-5.47037452409671e-20,0.431247953539857,0.133559814026713,0.138726711893732,0.108434952937232,0,0.0970638588293667,0,0
"35","1x15",0.0723593183729277,0,0,0,0,0,0,0.568520351733108,0.0630865234583464,0.130340248752564,0.0924477690343149,0,0.073245788648739,0,0
"36","1x16",0.0821791491208681,0,0,0.13140548470423,0,0,0,0.514288637968728,0.108386016137308,0.107384281755364,0.0563564303135017,0,0,0,0
