,GC,PGC,OSNs,M/TC,EPL-IN
26x19,0.0710042,0.43842715,0.0,0.28522375,0.20222923
26x22,0.25937873,0.0,0.0,0.7291274,0.0
25x22,0.75560546,0.0,0.0,0.21922243,0.022471534
26x21,0.15091296,0.118795455,0.013631797,0.5288575,0.18780228
25x21,0.34803137,0.0,0.0,0.63973945,0.0
28x21,0.021075519,0.37205586,0.048224356,0.3483517,0.2102926
27x21,0.03772517,0.22601163,0.15378207,0.37968388,0.20279723
27x22,0.091783606,0.21878017,0.011114206,0.65703213,0.02128989
28x22,0.03964536,0.344432,0.0,0.3414631,0.2714193
28x23,0.013396877,0.14398503,0.0,0.77805763,0.06427769
28x24,0.08432257,0.14971095,0.0,0.7491868,0.012853607
27x23,0.23940285,0.013302993,0.0,0.74589306,0.0
27x24,0.30103478,0.0,0.0,0.6881611,0.0
26x24,0.7221707,0.0,0.0,0.23188247,0.044101194
26x23,0.73276305,0.0,0.0,0.1491701,0.11101632
25x23,0.6413849,0.0,0.0,0.34142575,0.015655506
25x24,0.63181853,0.0,0.0,0.2954422,0.06820475
25x25,0.66168207,0.0,0.0,0.32555574,0.010849591
26x25,0.6970556,0.010386306,0.0,0.271929,0.020595714
28x25,0.19585508,0.20046912,0.0,0.47518855,0.1268269
27x25,0.2362239,0.010059315,0.0,0.7416467,0.011476074
29x24,0.047626436,0.3836505,0.0,0.29793006,0.26924586
29x23,0.053081848,0.4218508,0.023768093,0.43286192,0.06843729
29x25,0.065141015,0.296696,0.0,0.35554,0.28054276
23x20,0.67381674,0.014059445,0.0,0.2784408,0.033531412
23x19,0.5597231,0.0,0.0,0.27602366,0.15434422
24x19,0.6781583,0.0,0.0,0.31348214,0.0
24x18,0.630297,0.019955548,0.0,0.12852934,0.22118104
24x20,0.72657573,0.0,0.0,0.23761502,0.034344353
23x18,0.70056844,0.0,0.0,0.20048444,0.089438766
22x18,0.48594978,0.0,0.0,0.44789445,0.06427455
21x20,0.18697147,0.21814477,0.0,0.51124144,0.08352686
21x18,0.16597995,0.24845688,0.0,0.56901807,0.01615114
22x19,0.4948998,0.0,0.0,0.4805183,0.02060494
22x20,0.37043348,0.0,0.0,0.5868869,0.038088344
21x19,0.2038679,0.23570146,0.0,0.51866263,0.041614976
21x21,0.11084104,0.2791676,0.0,0.6031603,0.0
22x22,0.26265094,0.0,0.0,0.73291564,0.0
21x22,0.12948298,0.34707236,0.0,0.51910967,0.0
22x21,0.41032195,0.01429107,0.0,0.5696723,0.0
24x22,0.67397445,0.0,0.0,0.23684178,0.0870141
23x21,0.7015326,0.0,0.0,0.25936317,0.035435755
23x22,0.74749076,0.0,0.0,0.23107642,0.017752945
24x21,0.6507658,0.0,0.0,0.30774495,0.0400709
19x18,0.14339867,0.14725031,0.22724292,0.2926459,0.18946224
20x20,0.21213663,0.12101075,0.18839322,0.31776643,0.16069299
19x20,0.16160561,0.2165363,0.0,0.40875846,0.21216346
19x19,0.18229552,0.117566004,0.22530018,0.34114888,0.13368943
20x18,0.21457694,0.037155204,0.24633534,0.29967123,0.20226127
20x19,0.15402126,0.109397925,0.21930374,0.25039113,0.26688597
17x18,0.5232245,0.0,0.0,0.46341595,0.011714552
17x20,0.28624895,0.010177091,0.0,0.6958282,0.0
18x18,0.047030114,0.31184617,0.0,0.59623283,0.044770718
17x19,0.33673579,0.01096763,0.0,0.62207574,0.03009221
18x19,0.1207825,0.29063517,0.0,0.44116417,0.14625706
18x22,0.03513809,0.44195467,0.0,0.35749045,0.1650935
18x21,0.026892375,0.47508273,0.0,0.28791967,0.21006042
17x21,0.2713258,0.030800136,0.0,0.5959773,0.09808984
17x22,0.12388875,0.035957143,0.0,0.715556,0.122537084
19x22,0.18029025,0.14880845,0.10228573,0.38070673,0.1879088
19x21,0.2209663,0.18791018,0.013383705,0.4125429,0.16519687
20x21,0.113301896,0.16752045,0.1855954,0.29811326,0.23546897
20x22,0.09572361,0.29797122,0.11072131,0.3027073,0.19287656
20x23,0.15264307,0.22892787,0.17714266,0.2672146,0.17407177
20x24,0.11101824,0.3370405,0.041511998,0.32783148,0.18259774
19x24,0.1973799,0.20391084,0.023456736,0.32652253,0.24872994
19x23,0.12586048,0.1270113,0.20634764,0.32004064,0.2207399
17x23,0.17725533,0.09590298,0.0,0.5516692,0.16658185
18x23,0.064950705,0.29768014,0.0,0.60273296,0.03246086
17x24,0.26821718,0.0,0.0,0.72217387,0.0
18x24,0.059698593,0.4374627,0.0,0.4497321,0.053048376
17x25,0.36349618,0.0,0.0,0.6248234,0.0
18x25,0.21874957,0.029848244,0.0,0.5559756,0.19477491
19x25,0.095908985,0.19897264,0.0,0.47277007,0.22695939
20x25,0.1337445,0.35369095,0.01541065,0.28317463,0.21397926
23x23,0.77913654,0.0,0.0,0.20844798,0.0
24x23,0.55321026,0.052291755,0.0,0.2633146,0.13055469
24x24,0.5230883,0.045271415,0.0,0.32495502,0.10612579
23x24,0.6667949,0.0,0.0,0.3030495,0.027599504
21x24,0.17682007,0.18656035,0.0,0.63199145,0.0
22x24,0.40496278,0.0,0.0,0.5006231,0.08898103
22x23,0.34618202,0.0,0.0,0.63995457,0.0
21x23,0.06262563,0.25761235,0.0,0.6637986,0.0158093
21x25,0.13021028,0.023189789,0.0,0.8455835,0.0
22x25,0.3659726,0.0,0.0,0.6244008,0.0
23x25,0.70885676,0.0,0.0,0.24428819,0.040663227
24x25,0.7501412,0.0,0.0,0.19577019,0.0506567
18x16,0.03412792,0.39867324,0.0,0.55748045,0.0
17x16,0.32736555,0.0,0.0,0.66828865,0.0
19x16,0.20499474,0.07016633,0.17564218,0.29163107,0.25756568
20x16,0.15476726,0.11834061,0.22913198,0.30251086,0.19524932
22x16,0.113243856,0.25294733,0.0,0.60019493,0.033047464
21x16,0.26525512,0.24959384,0.04715541,0.4136389,0.024356803
23x16,0.27352983,0.114992,0.0,0.4736175,0.13412061
24x16,0.32513824,0.044946846,0.0,0.5417323,0.0847543
26x16,0.107118234,0.32057768,0.11431688,0.3786271,0.07936016
25x16,0.03781543,0.34658718,0.0,0.46256208,0.15186162
27x16,0.072957866,0.107209675,0.21872756,0.3584181,0.24268676
10x16,0.23954639,0.026985,0.16854934,0.36642063,0.19849864
12x16,0.14119323,0.08731555,0.13909061,0.39199242,0.2404082
11x16,0.21586636,0.026941262,0.19044898,0.3357529,0.23099057
13x16,0.059122723,0.40553597,0.0,0.32065398,0.21251704
14x16,0.2685459,0.11161064,0.0,0.43340498,0.18519512
16x16,0.7379329,0.0,0.0,0.10312032,0.15549336
15x16,0.57987535,0.0,0.0,0.3817024,0.03538887
17x15,0.14873077,0.22822888,0.0,0.60824496,0.014659332
18x15,0.16587569,0.4347477,0.014901487,0.31913367,0.06534153
12x15,0.2534738,0.09288759,0.19537891,0.36999166,0.08826795
11x15,0.19817437,0.09168609,0.19089353,0.35189068,0.16735533
15x15,0.25957355,0.21466985,0.0,0.49120936,0.033217352
16x15,0.18019608,0.07046585,0.0,0.740195,0.0
13x15,0.10599956,0.2967105,0.019027475,0.3747502,0.20351222
14x15,0.028581506,0.25318813,0.046300616,0.6516227,0.020307017
23x15,0.055783935,0.4038371,0.0,0.46464366,0.07570775
24x15,0.032462504,0.51265585,0.0,0.4241673,0.030159162
22x15,0.12006432,0.439746,0.0,0.34982133,0.08990705
