"","B-cells","CAFs","Cancer Epithelial","Endothelial","Myeloid","Normal Epithelial","PVL","T-cells"
"1205",0.0153075177813526,0.147063506454612,0.697799820815492,0.0338522705023224,0.0703636140277575,0.000149222686787421,0.000149222686787421,0.0353148250448893
"1206",0.00015426203006405,0.0756388377657416,0.774019220857305,0.0314814674088833,0.0965686685389938,0.000154262030074721,0.00897868278071669,0.0130045985882205
"1207",0.000146075300649508,0.0530324419818153,0.789552987087596,0.0521655450663651,0.0598964550740551,0.000146075299201193,0.0372360347715534,0.00782438541876441
"1208",0.000145625486592723,0.0752637296036295,0.707508938258035,0.0538257231408012,0.115519091428285,0.00537293418852564,0.000145625487963497,0.0422183324061675
"1209",0.000190608368775124,0.289681562541532,0.246645439059865,0.274273094527993,0.128037240546543,0.000190608368771328,0.0217015298023169,0.039279916784203
"1210",0.00110990949855239,0.0743420240036638,0.656756781686578,0.050742738412447,0.169145173413665,0.00378838942346043,0.000168643326263921,0.0439463402353698
"1211",0.0240323697998036,0.15946496380463,0.622162701137679,0.0612029777352472,0.0947362078166162,0.000156698508343664,0.00442647195145063,0.0338176092462302
"1212",0.000147216091220303,0.120848733019039,0.725820092370939,0.028184105665784,0.100289915858662,0.000147216091216137,0.000147216091216138,0.0244155048119236
"1213",0.00127504386503815,0.281752721391537,0.306995755417371,0.0174330788145552,0.275311553701104,0.0219799089496487,0.00278764535963289,0.0924642925011137
"1214",0.000424555713877991,0.0598828419962448,0.777965195953374,0.0455276825897945,0.0917840897588388,0.000247578204990203,0.0034155353305495,0.0207525204523302
"1215",0.000177584269238082,0.0462826029645039,0.851250170251214,0.0188964401757116,0.05616606671822,0.000177584269239345,0.00419979584652156,0.022849755505352
"1216",0.0250495588551541,0.30693952945149,0.321655358890573,0.159821190962482,0.1180348843551,0.000209442490431907,0.000209442490431907,0.068080592504336
"1217",0.0876853774693164,0.261670585369026,0.264302080862606,0.044652852626361,0.205112053224131,0.0314608005098066,0.00343173737618898,0.101684512562565
"1218",0.00604300914633048,0.113777046313733,0.711103634401457,0.037691358450425,0.0761092883360874,0.0164581702980663,0.000155196244162431,0.0386622968097386
"1219",0.00484534819547653,0.0539252850259956,0.877213712728944,0.0169636588624446,0.0335096244985051,0.000171151579741498,0.00896032297996387,0.00441089612892882
"1220",0.00549345811763445,0.224348778989976,0.428269479226191,0.185009430567066,0.112485717689001,0.00020253157894521,0.00020253157894521,0.0439880722522414
"1221",0.00249997458940882,0.128065623171864,0.521997411041333,0.126323490865639,0.105189334192229,0.00352148902165237,0.0569928832134131,0.0554097939044615
"1222",0.00115671103614894,0.0299979032086117,0.900762170000393,0.0166395200346281,0.0313608735323309,0.00719780274481719,0.00157196112305162,0.0113130583200187
"1223",0.000159504246066382,0.0761162884210453,0.783250714504502,0.0243766282128089,0.0900323563221253,0.000159504246063278,0.0098886485308031,0.0160163555165858
"1224",0.0538428659911448,0.207593752037907,0.541859885361647,0.0410814656441196,0.104639356314091,0.0342494602581447,0.000221662844005404,0.0165115515489403
"1225",0.000526832335713051,0.0450566273396147,0.869877331252089,0.0114173884837595,0.0444559791958636,0.000151100077407811,0.0138376706657812,0.0146770706497707
"1226",0.00310948807622949,0.146320287648557,0.607272658096526,0.0436796281840114,0.130725740672972,0.0116928316653811,0.000143960158485977,0.0570554054978372
"1227",0.0555469390558337,0.165772183393722,0.549752167845177,0.0605492246907774,0.0658519313530844,0.0494652522115662,0.0395556524156617,0.0135066490341768
"1228",0.000149429745535205,0.0869321851108167,0.799884740683447,0.02661899057532,0.0687672830418897,0.000149429745580571,0.0142228561417059,0.0032750849557047
"1229",0.00227692060815291,0.220151740646043,0.288626144230046,0.210430626440486,0.15618212666433,0.000281323395807704,0.0425943921346237,0.07945672588051
"1230",0.00305381278088428,0.107401507830605,0.365050756979375,0.0402222277038646,0.404717171611602,0.00021203500532734,0.0165073802975698,0.0628351077907719
"1231",0.00734414794515452,0.0749097181303876,0.779456527604532,0.0273748007149846,0.0815812501789095,0.000151141265390865,0.00371606101662711,0.0254663531440136
"1232",0.000173861166360603,0.07660897891786,0.801771030370941,0.0342797438180761,0.0696123998774911,0.00117887814188906,0.00476790889468978,0.0116071988126924
"1233",0.000155022992122921,0.0829134697886068,0.684874961506447,0.0422313037881739,0.14980841543767,0.00806236413066179,0.000155022991604404,0.031799439364713
"1234",0.000432683768976219,0.104316652421939,0.740266846938245,0.0270777670318452,0.0891618061791656,0.000151841268522035,0.000151841268525827,0.0384405611227812
"1235",0.00569182080659888,0.126224103327572,0.671710622814498,0.061309895547274,0.113339546920419,0.0016489439684864,0.000143858201129586,0.0199312084140223
"1236",0.000152245268646503,0.0493392948127849,0.847095349752808,0.0200752454648357,0.0457866271261205,0.00156591330924348,0.0131137664675919,0.0228715577979685
"1237",0.000213452798213204,0.162898777301624,0.449951239790731,0.169531345982555,0.112412300362908,0.0437662478704025,0.00463258563752786,0.0565940502560372
"1238",0.0222568179234355,0.0709699576069874,0.613346986152743,0.0264373936588197,0.0943195665237254,0.00023115382525241,0.00675522207573378,0.165682902233303
"1239",0.000689213080700941,0.210892516963363,0.387940649448355,0.0731292952947297,0.19212187084364,0.000207379280932768,0.0356805748484266,0.0993385002398521
"1240",9.91847482946133e-05,0.0779820791772265,0.737825752516391,0.0409109841931607,0.109840001648534,0.00503006579163922,0.0025932736868426,0.0257186582379115
"1241",0.00156670922460436,0.121096219338354,0.772333539153424,0.0356930145022636,0.0497552075493286,0.000158652005073529,0.00864283112841161,0.0107538270985401
"1242",0.00098296537306679,0.123505373618841,0.745273650524393,0.0373671563363485,0.0706819535495232,0.000115073341278522,0.00536722140458285,0.0167066058519663
"1243",0.000143872387514471,0.146993799091447,0.633396339252502,0.0588452198657045,0.0973627517277038,0.0155830501506081,0.0236715987280115,0.0240033687965083
"1244",0.0474288404570965,0.183268092003582,0.551833767609448,0.072463837914602,0.108503178732482,0.0106222693125276,0.00536792413686779,0.0205120898333936
"1245",0.00240931748972952,0.135845694504406,0.716853079967255,0.0277317352287018,0.0883272243635286,0.00553372345227617,0.000159917437569549,0.0231393075565327
"1246",0.000152370379196338,0.0730913391422388,0.761018581454676,0.0300640674212869,0.109223606480801,0.0100493477544114,0.00351435701262694,0.0128863303547628
