,EPL-IN,GC,M/TC,OSNs,PGC
29x22,1.43010675e-05,5.179741e-06,0.1738366,0.60943145,0.21671247
27x20,0.14407945,1.0617669e-06,2.0203101e-06,0.43010512,0.42581236
27x19,0.00013311864,3.459267e-05,6.9086e-05,0.99974334,1.9843752e-05
27x18,1.7912545e-05,1.05804165e-05,1.4998557e-05,0.9999496,6.9284033e-06
28x18,7.741879e-06,4.176767e-06,6.9783887e-06,0.99997675,4.376556e-06
28x19,1.6548249e-05,0.26658544,1.41398e-05,0.7333779,6.0130546e-06
28x20,1.4677175e-05,9.698984e-06,1.0480053e-05,0.99995494,1.0255637e-05
25x19,0.09939786,1.1171788e-06,0.235408,0.66519094,2.034429e-06
25x20,0.096340716,1.2906855e-06,0.324751,0.5789035,3.502745e-06
26x20,0.09109625,1.2665284e-06,0.2799936,0.42601582,0.20289308
26x18,0.1421456,6.0234385e-07,0.09527641,0.3194147,0.44316268
25x18,0.11707478,2.3452862e-06,0.20034271,0.6825762,3.9767447e-06
26x19,0.16282424,1.4544149e-06,0.049808744,0.3018103,0.48555532
26x22,0.07948183,2.9944229e-06,0.5622237,0.2888097,0.0694818
25x22,0.12869857,0.66663504,3.4262946e-05,0.16295289,0.04167918
26x21,0.14278537,2.594423e-06,0.20078152,0.5794732,0.076957434
25x21,0.12556912,0.12689465,0.38169146,0.25416312,0.111681744
28x21,0.13467361,1.0649816e-06,0.019538525,0.4530322,0.3927546
27x21,0.13370237,8.508805e-07,0.2279781,0.47293007,0.16538867
27x22,0.14918791,1.1049116e-06,0.18806021,0.6627468,3.9959295e-06
28x22,0.15681022,8.3189013e-07,0.13624157,0.4250184,0.281929
28x23,0.099397294,7.524385e-07,0.5628948,0.23898928,0.098717876
28x24,0.072197065,1.0717121e-06,0.31970805,0.47316056,0.13493332
27x23,0.05269212,9.4718695e-07,0.46998617,0.47726768,5.3032203e-05
27x24,0.12957813,0.10145542,0.51823467,0.15691957,0.09381224
26x24,0.13635534,0.6770894,6.2170816e-06,0.18650039,4.872435e-05
26x23,0.16162282,0.61929023,9.070972e-07,0.216681,0.0024049932
25x23,0.10356374,0.6215345,0.013936477,0.26094684,1.8388502e-05
25x24,0.10825589,0.59876007,6.6683947e-06,0.2684058,0.024571488
25x25,0.16515072,0.48413762,0.020226348,0.24225125,0.08823404
26x25,0.15088293,0.56724083,0.019365601,0.2617773,0.00073330273
28x25,0.15336555,2.1486135e-06,0.2043142,0.4898647,0.15245341
27x25,0.057079703,9.772558e-07,0.45605174,0.4868538,1.37891075e-05
29x24,0.15803912,2.228676e-06,0.08182722,0.20128743,0.55884403
29x23,0.13464214,1.4879341e-06,0.12563151,0.33247763,0.40724722
29x25,0.21779063,5.521171e-06,0.0745026,0.27078643,0.43691477
23x20,0.08964615,0.64338017,0.01376599,0.20273995,0.050467756
23x19,0.13253501,0.49669063,0.029629352,0.31716555,0.023979485
24x19,0.13604115,0.6350937,0.02815925,0.20067161,3.42269e-05
24x18,0.23904963,0.4415793,0.00026769663,0.19108105,0.12802236
24x20,0.106449164,0.61235064,0.01031651,0.2059829,0.06490076
23x18,0.15792656,0.48249334,0.008920428,0.22745422,0.123205416
22x18,0.13610348,0.39701352,0.26163527,0.16519953,0.040048197
21x20,0.10424743,0.028660692,0.38716134,0.24246268,0.23746789
21x18,0.10171886,6.4246237e-06,0.31544477,0.27538887,0.30744112
22x19,0.12481065,0.39909777,0.21355292,0.20462833,0.057910353
22x20,0.14318985,0.16459176,0.41911617,0.18952715,0.08357515
21x19,0.11383176,4.536831e-06,0.2844079,0.30253065,0.29922518
21x21,0.0920731,0.0012571949,0.4034717,0.12033466,0.3828633
22x22,0.025800232,1.3945459e-05,0.595623,0.2841604,0.09440243
21x22,0.027573846,3.255184e-05,0.32129475,0.2174294,0.4336695
22x21,0.056947634,0.27594963,0.3186991,0.24025168,0.108151995
24x22,0.18897113,0.5757094,2.681605e-06,0.21531929,0.019997517
23x21,0.14007886,0.4660278,2.6011832e-05,0.27098718,0.12288013
23x22,0.11912013,0.60381085,6.1547526e-06,0.26083407,0.016228737
24x21,0.13528615,0.6479157,0.0117439935,0.2050511,3.0511287e-06
19x18,5.605652e-05,0.38088647,0.081968404,0.5245239,0.012565185
20x20,9.83548e-06,0.37750766,0.084499,0.5378993,8.4292966e-05
19x20,0.15617587,0.059695605,0.23030792,0.25237286,0.30144766
19x19,4.1180738e-05,0.33729127,0.0005541313,0.6620986,1.481379e-05
20x18,6.0012094e-06,0.6563718,9.515228e-06,0.343603,9.735736e-06
20x19,6.768254e-05,0.35053563,0.00028294197,0.6491005,1.3204772e-05
17x18,0.16326736,0.3222085,0.21125965,0.2519299,0.05133461
17x20,0.060525708,1.1401024e-05,0.3986395,0.4951473,0.045676105
18x18,0.108737774,6.3126886e-06,0.4311341,0.15096314,0.30915862
17x19,0.15360704,0.04648585,0.4483216,0.23358999,0.117995515
18x19,0.18079029,1.99007e-06,0.2205638,0.27295646,0.32568753
18x20,0.6210273,0.08797692,0.118570805,0.09450912,0.0779159
18x22,0.14254451,5.6519707e-06,0.16726023,0.10394946,0.58624023
18x21,0.15237333,7.486788e-06,0.18254496,0.12489726,0.5401769
17x21,0.14026542,2.6716175e-06,0.37319696,0.4137603,0.07277469
17x22,0.11496887,1.4141593e-06,0.31791678,0.56710404,8.878195e-06
19x22,0.19194669,0.47437164,0.14780003,0.1858038,7.787445e-05
19x21,0.09004964,0.45293742,0.18374583,0.2714869,0.0017801941
20x21,1.1563091e-05,0.091476925,0.06912008,0.47194418,0.3674473
20x22,7.4096233e-06,1.0667276e-05,5.6065664e-06,0.48776507,0.5122113
20x23,3.642644e-05,1.5908514e-05,0.026932493,0.5058389,0.46717635
20x24,5.764591e-06,9.552549e-06,6.55552e-06,0.5643291,0.43564904
19x24,8.075568e-05,0.44252008,0.09954837,0.31579334,0.14205751
19x23,1.1210852e-05,0.29296502,0.007434252,0.69953716,5.2368054e-05
17x23,0.050549187,1.2488375e-06,0.23543067,0.71401507,3.890073e-06
18x23,0.08452032,9.470095e-07,0.26673794,0.27296174,0.3757791
17x24,0.0832591,0.04407128,0.49859405,0.26000524,0.11407033
18x24,0.10838142,7.2808357e-06,0.31508642,0.09018452,0.48634037
17x25,0.09127902,0.16225755,0.39558378,0.26188418,0.088995434
18x25,0.1150835,4.609746e-06,0.43364373,0.36830696,0.08296116
19x25,0.19857357,9.675124e-06,0.2484862,0.48559397,0.06733658
20x25,9.889941e-06,0.056209624,1.2050001e-05,0.34573138,0.598037
23x23,0.13779327,0.4880928,3.1015347e-06,0.21743421,0.15667662
24x23,0.09641625,0.40368006,4.035509e-05,0.27688792,0.22297543
24x24,0.08611805,0.5971017,0.013461558,0.2374886,0.06583012
23x24,0.17059231,0.51533264,1.3839293e-05,0.23188487,0.08217624
21x24,0.041520827,1.7243779e-06,0.39502823,0.32185933,0.2415899
22x24,0.14441374,0.19270621,0.26559293,0.23313719,0.16414997
22x23,0.0015430277,0.066726185,0.3943736,0.48188275,0.055474438
21x23,0.06379958,1.8377224e-06,0.41012433,0.217403,0.30867127
21x25,0.015775135,3.8589555e-05,0.5411448,0.23153418,0.21150728
22x25,0.09407062,0.21041141,0.38940406,0.21537878,0.090735056
23x25,0.10541067,0.61684,2.842848e-06,0.20668605,0.07106046
24x25,0.07288826,0.7223924,1.3337972e-06,0.20471033,7.749911e-06
18x16,0.10376105,8.8540173e-07,0.3743391,0.17747967,0.3444193
17x16,0.02167604,0.102805294,0.43280348,0.311113,0.13160215
19x16,0.10163407,0.42381772,0.09155139,0.300779,0.08221776
20x16,2.9605108e-05,0.21372525,0.17297569,0.6132559,1.3577504e-05
22x16,0.028447146,1.6592586e-06,0.3289749,0.39075816,0.25181818
21x16,8.637728e-06,0.5482734,0.0001755357,0.45149818,4.424805e-05
23x16,0.13268642,4.402027e-06,0.18952471,0.6348117,0.04297271
24x16,0.09902247,7.215849e-06,0.26714325,0.57210135,0.061725758
26x16,0.069015294,1.1932755e-05,0.15566023,0.33039317,0.44491938
25x16,0.04606928,9.0719544e-07,0.380298,0.2320971,0.34153473
27x16,0.10112776,0.0007215161,0.18731156,0.71081,2.9178585e-05
10x16,0.14713334,0.31604272,0.13121922,0.3549444,0.050660286
12x16,0.013718415,0.23915493,0.04488353,0.7022277,1.5382691e-05
11x16,0.18811652,0.32359618,2.9930909e-05,0.4882496,7.767674e-06
13x16,0.16065311,1.232227e-06,0.084205545,0.31427798,0.44086215
14x16,0.13125531,0.0444414,0.16755283,0.48691723,0.16983324
16x16,0.18507566,0.65777415,4.279608e-06,0.15708898,5.694386e-05
15x16,0.16559933,0.46933213,0.13700564,0.19135015,0.036712717
17x15,0.097713746,2.7094623e-06,0.46795702,0.23116739,0.20315912
18x15,0.008600863,5.022294e-06,0.091332816,0.4636107,0.43645063
12x15,0.016268227,0.3476898,0.2027917,0.4332306,1.9663014e-05
11x15,0.21268287,0.1586699,0.2467832,0.38185316,1.0957736e-05
15x15,0.12407727,0.13902178,0.26471975,0.41855496,0.05362626
16x15,0.14235851,3.0344288e-06,0.15237972,0.6985868,0.006671923
13x15,0.027197123,0.027270723,0.113314986,0.38426286,0.44795427
14x15,0.03203462,9.1891485e-07,0.33939892,0.43152708,0.19703853
23x15,0.1409792,5.59229e-06,0.28468093,0.13406777,0.44026652
24x15,0.09200124,9.650663e-07,0.18647361,0.20287223,0.51865196
22x15,2.199902e-05,7.560094e-06,0.12760457,0.18272525,0.68964064
25x15,0.019295027,8.667791e-05,0.037648156,0.5730421,0.36992797
18x14,1.0219431e-05,5.5447804e-06,7.9715865e-06,0.9999702,6.0859625e-06
17x14,0.00043610632,0.0023822077,0.00044315946,0.9964396,0.00029895196
15x14,0.02694562,2.903815e-06,0.3024934,0.3110337,0.35952434
16x14,0.116132215,2.4406163e-06,0.15342087,0.43857914,0.29186538
