"B","T","Mal","CAF","Macro","Endo","NK"
0.149248853113953,0.0144265329619138,0.699789997583579,0.0468602534775916,0.0540728787477117,0.0223379305154527,0.0132635535997979
0.00397624098560416,0.00491350442783286,0.749824392044571,0.04240096477634,0.165838666515079,0.00849453979286766,0.0245516914577055
0.207975050725421,0.000110672009166989,0.457794980202862,0.196026552186998,0.104296055074896,0.032434571669798,0.00136211813085755
0.287795275288981,0.000340090170227641,0.653961755200053,0.00757397967226148,0.0487265442517033,0.00153391292503266,6.84424917407831e-05
0.409028154840798,0.00147086034070403,0.414899510884924,0.144714301889469,0.00569219865902116,0.0216872572104163,0.00250771617466736
0.0128652305161161,0.0216386062636838,0.59644414421361,0.0653339992650751,0.289066933541112,0.0109306958961969,0.00372039030420647
0.00580086776328497,0.000737910249023,0.667837654271986,0.060316733307166,0.255617241423574,0.00761957301762277,0.00207001996734301
0.0691608075080975,0.00769749700963689,0.780852775016629,0.0655520496355194,0.0577635199282031,0.00978421130083179,0.00918913960108234
0.863837069094831,0.00385915150247672,0.0448839032578969,0.0770306960957169,0.0021357441276416,0.00779530040958495,0.000458135511852204
0.322078875011517,0.00100946886375414,0.404935752098313,0.191576886745746,0.0636082706800831,0.00805758574163803,0.00873316085894836
0.0608626933071468,0.00106178441478021,0.807558255679403,0.0670171274121792,0.0405090998047388,0.0216229504568428,0.00136808892490942
0.330608896324714,0.0682193728452961,0.247134069340211,0.12303951555478,0.160771262398473,0.0483346207885805,0.0218922627479446
0.301958207386681,0.0374908819536287,0.286914265996974,0.139584511803972,0.187667756842997,0.0328188067895808,0.0135655692261663
0.269620881499224,0.0468151136901387,0.513109864323929,0.0287448607339057,0.117601410191636,0.0100452461802834,0.0140626233808834
0.0157029716092327,0.0203085672740975,0.734185905637054,0.0125313302352447,0.171247178524157,0.0313002055078511,0.0147238412123633
0.767108567831267,0.0133593889717388,0.0408557948284791,0.1126797727751,0.00476473272384469,0.0589223412939147,0.00230940157565643
0.04275446544906,0.00737217886832519,0.496253783781631,0.323458752265432,0.0603044419502695,0.0644829362590322,0.00537344142624972
0.221556758909447,0.0105295724058481,0.478581571676301,0.108560303852348,0.096256942518874,0.0688325880112361,0.015682262625945
0.158498613360988,0.000867421531703716,0.610741973085824,0.10492348684929,0.0911329430830201,0.0331193661411358,0.000716195948038087
0.402110867989201,0.00312824775851792,0.145350156847895,0.269979194137296,0.156219578331781,0.0101810566620723,0.0130308982732364
0.398759039479738,0.000489175269639506,0.286540792750805,0.228891016893814,0.072413111267859,0.0123045491967476,0.000602315141396699
0.00550612094198445,0.000125113844245952,0.156724534987696,0.758010964685032,0.0755745961994887,0.00370755598172147,0.000351113359831599
0.614702015468111,0.0179961975893749,0.259856581420374,0.0819593921172301,0.0170042431199667,0.00644493698794379,0.00203663329699943
0.487944057802865,0.0467715353300627,0.306326614125924,0.0774472748404013,0.0468209229859922,0.0277568098136824,0.00693278510107238
0.0156888277536281,0.000685746115450901,0.889344368941871,0.0199937447942433,0.0691256193553712,0.00382895676585784,0.00133273627357716
0.000346883538452532,0.000213276334404945,0.918519378330553,0.0123158822403251,0.0655682360077305,0.00230883536979515,0.000727508178739005
0.181955886310268,0.00158916429076279,0.644061512949187,0.105140711279577,0.0362397907010007,0.0262401007312053,0.00477283373799981
