"","cell_ID","Endothelial cells","Fibroblasts","PVL","B cells","PCs","T cells CD8","T cells CD4","NK cells","Monocytes and Macrophages","Dendritic cells","Epithelial cells"
"1","1",0.0377154538072793,0.0514716584284149,0.0262984911980844,0,0,0,0,0,0.178268204923459,0,0.706246191642763
"2","2",0.0842305710872019,0.197357459833643,0.0463643532790175,0.0427109149162612,0.0704918582351464,0.0992685498618319,0.000810526229320665,0,0.456249118524574,0.00251664803300413,0
"3","3",0.0447409851253573,0.29571289054983,0.00810825622312802,0,0.276619403157258,0,0.0317769028530092,0,0.0270418159880864,0,0.315999746103331
"4","4",0.108963690742507,0.393308663745253,0,0,0.011437810582551,0,0.0232031433213391,0,0.380355008289754,0.0827316833185962,0
"5","5",0.0211781545369164,0.442933787302695,0,0.0664245998479847,0.161098403900261,0.0822318769389837,0.0308012910511812,0,0.132170850421254,0,0.0631610360007232
"6","6",0.178868218929637,0.307692958382881,0,0,0.190416973131879,0.109679797797435,0.016438051256876,0,0.117064073686582,0,0.0798399268147109
"7","7",0.0445871833080468,0.384253571217354,0.00993457768405268,0,0.119450992812311,0.00333144260448792,0.0795946352160141,0.00660689760801853,0.224522026816703,0.127718672733012,0
"8","8",0.0422056656049518,0.36766476048077,0,0,0.103971202326268,0,0.0911263585546487,0,0.316781777263828,0.0306922538232763,0.047557981946258
"9","9",0.164365313959744,0.187037437450911,0.0356977453611577,0.0230437214445836,0.113794201360245,0.0367650473494391,0.0917503806268693,0.01534233002869,0.13807324321285,0.00638036092235511,0.187750218283155
"10","10",0.0356173640129557,0.433081121023395,0.025246910867263,0.0375327121404797,0.127923025366727,0,0.0022987043926589,0,0.152474558859848,0,0.185825603336672
"11","11",0.0446362801219032,0,0.0710150653645671,0,0,0,0,0,0,0,0.88434865451353
"12","12",0.0346983389653721,0.0979304977523758,0.0204978942277259,0,0,0,0,0,0.038728847509498,0,0.808144421545028
"13","13",0,0,0.0523086104401594,0,0,0,0.0614908793838763,4.96376213555394e-20,0.104037465504225,0,0.782163044671739
"14","14",0.0138452185917034,0.570092770968658,0.0414791681260055,0.0155622273336303,0.0282829915089288,0,0.0212316637734202,0,0.309505959697654,0,0
"15","15",0.0467817589274015,0.328207760985762,0,0,0.0275809672775708,0,0.0445452517176517,0,0.26559459203935,0,0.287289669052264
"16","16",0.0592944527006342,0.428829084908908,0,0.0196494321687527,0.0506893297533547,0.0231108068637305,0.156290686022071,0.0121184449544417,0.199204177436825,0,0.0508135851912821
"17","17",0.145643380623085,0.160473617034091,0,0.0188735506453802,0.0436615071905865,0.166006467855824,0.00477863400582708,0,0.0776994546744938,0,0.382863387970713
"18","18",0.0916919337299529,0.326659318118914,0.0335240039534319,0,0.0388059664158917,0,0.0634450493812975,0,0.175905755114184,0.00729969022745787,0.26266828305887
"19","19",0.12787910043237,0.26939886229394,0.00819317418851621,0.00882434658296968,0.0506519083192064,0,0.0852380616203294,0,0.231847084682457,0,0.217967461880211
"20","20",0.0889074312431389,0.240938070595688,0.0553356743230185,0.0214790774563539,0.0970819935067431,0.00726786491402317,0.0319840751900707,0.0065808098053879,0.38912132056209,0,0.0613036824034862
"21","21",0.060955261111833,0.481511813217595,0,0,0.173172957268474,0,0.0697745472735491,0,0.214585421128549,0,0
"22","22",0.0723625728878192,0.253301973186037,0,0.0598623333924616,0.0315026224428697,0.0481987150589326,0.138774438392938,0.0405737182700334,0.174428417080695,0.0275338724972284,0.153461336790985
"23","23",0.0172942116925252,0.259981242407927,0,0,0.0706650300130956,0,0.00434879328525063,0,0.647710722601201,0,0
"24","24",0.0718430522360258,0.227930031127403,0,0.0213903003722137,0.0753642803947723,0,0.0579235176815712,0,0.540233047953644,0.00531577023436981,0
"25","25",0,0,0.053307364520468,0,0,0,0.0880966996928293,0,0.119009744013206,0,0.739586191773496
"26","26",0,0,0.0486508534670029,0,0,0,0.071470417792997,0.00664612116027242,0.10892004599892,0,0.764312561580808
"27","27",0.0761031372113116,0.565313295320835,0,0.0306160876051544,0.0187176648861942,0,0.0731721722607831,0,0.236077642715721,0,0
"28","28",0,0,0.0467026495771042,0,0,0,0.0644913271776705,-2.00927093103259e-20,0.105725790599559,0,0.783080232645666
"29","29",0.0953926660353971,0.106405287026777,0.0341527123617525,0,0,0,0,0,0.2560540459802,0,0.507995288595873
"30","30",0.100539840365451,0.344216712083474,0,0,0.119921205849999,0,0.122640621055387,0,0.0525979149650861,0.0735445658228542,0.186539139857749
"31","31",0,0,0.0325782562690986,0,0,0,0.07365731424304,0.00532925066557513,0.312713174813567,0,0.57572200400872
"32","32",0.0535381954671042,0.272260160442825,0,0.0213626802120511,0.111372886277849,0,0.131166955763624,0.00643253900508244,0.360139163698948,0,0.043727419132517
"33","33",0.02748811562624,0.223655834009965,0,0,0.0601869757202916,0,0.0668333701437325,0,0.167193060158056,0,0.454642644341716
"34","34",0,0,0.129608209523632,0,0,0,0.0801646153985778,0.00120269265611182,0.165321270392172,0,0.623703212029506
"35","35",0.011978157063228,0,0.101955743185035,0,0,0,0.0209172401153759,0,0.324619447601443,0,0.540529412034918
"36","36",0.221581687374483,0.270895034805776,0.139182061828773,0,0.0439156097806791,0,0.0200104403534461,0,0.173167733731005,0.0408209264856607,0.090426505640176
"37","37",0.0844492631603493,0.297160014248792,0.0194218086016426,0,0.0208293826612881,0.0066481585117474,0.0366725400550673,0,0.242122195656877,0,0.292696637104237
"38","38",0.0305653178647376,0.378804068842678,0,0,0.119963743509287,0.0168057464314625,0.179367108811837,0.00887042685730109,0.205557011861268,0,0.0600665758214292
"39","39",0.028295669633152,0.624536946146419,0.0224085626730466,0.00478999927966306,0.131658494732964,0,0.0838083235428853,0.00809636781303456,0.0964056361788354,0,0
"40","40",0.0986645477394605,0,0.102935427390875,0.0342083922541376,0,0.0180072220419254,0.0145746543685299,0,0.469425413660151,0,0.262184342544921
"41","41",0.0735192352048278,0.343078059054961,0.17804800948693,0.0470842463936604,0.143023208074101,0,0.0814621642665664,0,0.0719179203380651,0,0.061867157180888
"42","42",0.0394923884796042,0.258183207858274,0,0,0.125057225933424,0.0103571063674493,0,0,0.566910071361249,0,0
"43","43",0.0656786678684187,0.433857992239353,0,0,0.0543252986965469,0.0143430464197292,0.0532453567070198,0.00592696405447209,0.186536421340359,0,0.186086252674101
"44","44",0.0959377472441604,0.551067915043765,0,0.0217435765008308,0.0630562101955625,0,0.0950923341407749,0,0.101992386290379,0.0711098305845274,0
"45","45",0.0946514501508299,0.185867360561495,0.0302419299505571,0,0.0656695860501769,0,0.0913461485434696,0,0.532223524743472,0,0
"46","46",0,0,0.0375287504239932,0,0,0,0.0710269412087479,0.00690667124142104,0.0620561436245204,0,0.822481493501317
"47","47",0.0872783359514484,0.245343226579742,0,0.0986613521302249,0.0393919452081903,0.0213976588043986,0.222023392240525,0.0370003052381871,0.191729524966068,0.00839284356879643,0.0487814153124196
"48","48",0.0628724905198467,0.309822818600434,0.0428753674755002,0,0.00774335249525528,0.0135246139194109,0.0422754827912589,0.0064481970596825,0.132076659103972,0.0143895263780637,0.367971491656576
"49","49",0.0677983920488805,0.366626776999986,0,0,0.0602693005011133,3.44131713427871e-05,0.0492979096575987,0,0.455973207621079,0,0
"50","50",0.0421489785097227,0.286918978052371,0,0,0.0867947034531532,0,0.108574977916523,0,0.181650100452128,0.00343863256612383,0.290473629049979
"51","51",0.076292320041106,0.750779481478684,0,0.0162163316862358,0.0176378007167211,0,0.0531246009397375,0,0.0580029676742528,0.027946497463263,0
"52","52",0.0673012900972434,0.131663410950323,0.0316872018849389,0.00714282943968066,0.0128129565620817,0,0.0384514274586904,0,0.141092445728973,0,0.569848437878069
"53","53",0.130285679612866,0.415637474789445,0.0640972232923856,0,0.0925923781171552,0,0.0487547186950666,0.0107991260346523,0.07453970679927,0,0.16329369265916
"54","54",0.027097265989761,0.363505269389031,0.013785835378441,0.030348826059898,0.0907348776476839,0.0313097973881908,0.0396455064673149,0.00668546185985054,0.396887159819829,0,0
"55","55",0.138052816640196,0.303823066530149,0.0682598449128913,0.0202418234799343,0.0498691449155286,0,2.81065667301574e-05,0,0.172666034592793,0,0.247059162361777
"56","56",0.128344380705659,0.482419839427662,0,0.0170667471950887,0.0462309092311707,0,0.014430469610838,0,0.130094194380228,-1.46690387685444e-18,0.181413459449354
"57","57",0.0797047269481627,0.243701292294735,0.00782903934587715,0.00726673877685779,0.0544450539548907,0,0.0646180999743083,0,0.303793905806317,0,0.238641142898852
"58","58",0.0480843147126997,0.266322356131055,0,0.000220676863979502,0.0381985436883781,0,0.0228027649463035,0,0.624371343657584,0,0
"59","59",0.165339553287621,0.217380398538342,0.0144576698517501,0.0203437997947757,0.0312396522391559,0.0381840350191246,0.0721299692348294,0.0113794532108109,0.240598803949351,0.00581189937473298,0.183134765499505
"60","60",0.0620917907522951,0.540897959538685,0,0,0.171953623715858,0,0,0,0.158066220407956,0,0.0669904055852054
"61","61",0.156206966350007,0.373901499636677,0.0406001035580917,0,0.126599945279685,0,0,0,0.101796085326334,0,0.200895399849205
"62","62",0,0,0.0377931071414227,0,0,0,0.0660719350094667,0,0.0852491800476498,0,0.810885777801461
"63","63",0.05901781995935,0.221682332559358,0.0526791628833959,0,0,0,0,0,0.120761002457872,0,0.545859682140024
"64","64",0.0834619535595767,0.308148769107336,0.0219597817291017,0,0.0373896212127299,0,0.036313952714636,0.0137273611531408,0.179985758621147,0.0113742504041318,0.3076385514982
"65","65",0.0677557771011424,0.206621925231073,0.0450811479479505,0,0.0234696633208616,0,0.0227960496729163,0.00300006875477991,0.121197155423779,0,0.510078212547497
"66","66",0.0703003237775244,0.561844113323666,0.0827516227812663,0.0269318737307826,0.047791104754984,0.118436578323194,0.000138632965010513,0,0.0918057503435719,0,0
"67","67",0.185514766132999,0,0.147357460475166,0,0,0,0.0293038109261157,0,0.212890596885967,0,0.424933365579753
"68","68",0.0301550666831646,0.273994936269127,0.0152883475936531,0.0169525099204289,0.0229182526163388,0,0.103662172757974,0.0135525914338793,0.26552438959324,0,0.257951733132194
"69","69",0.0160106077757297,0.459871352874489,0,0,0.10052565724934,0,0.054492043675665,0.00597009465497427,0.363130243769803,0,0
"70","70",0.04133754891046,0.365884941089534,0,0,0.17855436324435,0,0,0,0.414223146755656,0,0
"71","71",0.112460138713771,0.284977963063914,0.0550187096678855,0,0.054139281917811,0,0.033052293162681,0,0.126666511339391,0,0.333685102134546
"72","72",0.0538504533958677,0.247933255132145,0.00630361664269487,0,0.208356289290861,0.0426815882044933,0.0734110264083612,0.0056303666883571,0.27333255574564,0,0.0885008484915801
"73","73",0.0944576068738975,0.26326922963473,0.0179812589714103,0,0.0560411686939021,0,0.0727333542463507,0,0.0918838683537175,0.0339996068946929,0.369633906331299
"74","74",0.153860761745459,0.368751588435574,0,0.0486679071147058,0.0440061271547801,0,0.0542700040524584,0.00800397765550748,0.0943414161143258,0,0.22809821772719
