"","B","CAF","Endo","Macro","Mal","NK","T"
"1",0.11186605376198,0.0668580845879278,0.049386733644871,0.0604672680205611,0.625380625161254,0.0122328934310355,0.0738083413923704
"2",0.000376813852855268,0.164642952491903,0.0858181665396281,0.149581653096141,0.471304138014195,0.127899462152422,0.000376813852855264
"3",0.124563323560087,0.287021781180281,0.0718131748023452,0.0910098198959869,0.362463550979105,0.0622246294784194,0.000903720103775715
"4",0.0998296015309577,0.0416168955550481,0.0350284371799686,0.0497373648543174,0.744122094607327,0.00030597417444123,0.02935963209794
"5",0.251012195892541,0.183968576661717,0.0514413769748836,0.000215885615671359,0.419857185558114,0.0932888936814008,0.000215885615671362
"6",0.0660286822496544,0.106097665910046,0.0315321867010163,0.255036758513508,0.416262630966754,0.0352319480608113,0.0898101275982108
"7",0.000161760592097024,0.14631546880281,0.0362054296539057,0.264497530144753,0.511438241195378,0.0412198090189593,0.000161760592097024
"8",0.0358672241159755,0.188200440503491,0.0591997056742513,0.0505829298915898,0.559423247916212,0.0536707748861754,0.0530556770123044
"9",0.566470900131659,0.136547993592445,0.016762222975949,0.0774982141175976,0.000164891046747347,0.000164891046747353,0.202390887088855
"10",0.191075642695266,0.286338174381365,0.0618157470546322,0.095095384532126,0.272871250159255,0.0920114701415706,0.000792331035785322
"11",0.0202458838230397,0.101201229835561,0.105034450302266,0.0497088419499454,0.723189744503061,0.000309924793063081,0.000309924793063078
"12",0.162538831538708,0.214278986881155,0.0908844071808721,0.158980661967195,0.1079794087208,0.0349450839634282,0.230392619747842
"13",0.161712654650184,0.214439209050938,0.0668997912039201,0.218416644752849,0.113864811366891,0.0696630706619426,0.155003818313276
"14",0.200258654882121,0.0556810700277475,0.0186470367246952,0.147651769988002,0.38926549785743,0.019156627873735,0.16933934264627
"15",0.00353433317417001,0.0532960175186674,0.0964947462450332,0.173168869045934,0.562687366319352,0.0635910254194777,0.047227642277365
"16",0.492220290062941,0.176926768622346,0.120104227032577,0.0555013673958584,0.000162560994188886,0.000162560994188893,0.154922224897901
"17",0.0519690825572116,0.352911996491075,0.139153977835176,0.095508350420766,0.30303389607982,0.0189137088322672,0.0385089877836832
"18",0.140236645507433,0.163449486063937,0.119165304082896,0.103933227255049,0.325310239107692,0.0303681295031962,0.117536968479797
"19",0.0444985944888267,0.149048912756571,0.0668599945443989,0.146184268551237,0.569074823488348,0.0156737651245664,0.00865964104605085
"20",0.19123908215686,0.305936973309629,0.0518980924029,0.243887506233888,0.0348708547025725,0.0665913524805094,0.105576138713641
"21",0.202109233804425,0.283703351150264,0.060228143452392,0.185758207457344,0.181623229785334,0.0329390832610526,0.0536387510891881
"22",0.0526470897354571,0.647958137937286,0.0756827261724592,0.119729504052854,0.097841692588624,7.3711902298579e-05,0.00606713761102164
"23",0.280210717007989,0.179722810228526,0.117557304824059,0.122399995262173,0.152895519953685,0.000471867986317605,0.146741784737251
"24",0.37112840037113,0.132185402594577,0.0749751730043606,0.0835974338814724,0.143146426731755,0.00694433332151571,0.188022830095189
"25",0.000179188848574651,0.0579046664157341,0.0278818290805038,0.0786180762051263,0.821384193834193,0.0138528567672939,0.000179188848573813
"26",0.000321076405545868,0.0624213030686392,0.0220662123123317,0.0713283780916501,0.83586481724921,0.00767713646709324,0.000321076405529844
"27",0.102868392722203,0.180053072457373,0.0921375368081069,0.0778995201254365,0.498123231427361,0.0286949605876145,0.020223285871905
"28",0.107894330444634,0.392617996251426,0.0295503288835829,0.133605760814528,0.22151568719188,0.000228207437296232,0.114587688976652
"29",0.0982352682029385,0.112645762974133,0.0503962464541913,0.0668184140654978,0.61596393189774,0.00331235417373984,0.0526280222317597
"30",0.0336911086419122,0.0753697116023151,0.0698730932223056,0.0773675076383194,0.743303974946969,0.000197301974089477,0.000197301974089477
"31",0.0028933168748522,0.000126545777107837,0.0903833563595164,0.0495627220555147,0.851306416211054,0.00560109694484686,0.000126545777107839
"32",0.031795630948677,0.0631330627252878,0.0547055321965775,0.0589791792962304,0.766987268620512,0.000164244954700148,0.0242350812580151
"33",0.158298924175247,0.125673552420082,0.0429698064867444,0.327788599509947,0.0995626178995613,0.083462946154397,0.162243553354022
"34",0.132709777788315,0.437079356093387,0.0360211258932286,0.203934305200983,0.0408368136856345,0.149187945450846,0.000230675887605256
"35",0.000176495961396701,0.114169116813441,0.0701730683330911,0.135268525453727,0.679859801515551,0.000176495961396707,0.000176495961396701
"36",0.000217517855464887,0.0622858211475872,0.0630147223411054,0.00021751785546489,0.873829385090769,0.000217517855464897,0.00021751785414384
