,Excitatory L6,Excitatory L5,Inhibitory Sst,Inhibitory Vip,Excitatory L4,Inhibitory Pvalb,Inhibitory Other,Excitatory L2/3,Astro,Other,Endo,Olig,Smc,Neuron Other,Micro
0,0.04746826654166377,0.09621584880711365,0.1156922618705231,0.07746080195939291,0.07233875603252427,0.08477548883226872,0.15402779346599957,0.08451624142684262,0.14112303215457322,0.032225690413933764,0.04810595096009727,0.00038216880189682477,0.018004208299144616,0.02716320031800469,0.0005002901160209744
1,0.04554293608705771,0.04786384423280432,0.09163269194940249,0.07657820354937617,0.06589032420347685,0.06262648037411975,0.10106564348495274,0.0009132874855225684,0.12276447361868863,0.017434206566740773,0.08281067434543002,0.14140113211308447,0.13292509998930102,0.0004299900421883602,0.01012101195785416
2,0.04042015556735533,0.023623720101977896,0.02451888358901639,0.03422426763914108,0.020878715902621768,0.05204472812572001,0.10050027035176401,0.0014559955284485406,0.03557312630949811,0.10142204994565832,0.02347040921258443,0.28007866033953527,0.07941814697034051,0.1610037971763481,0.021367073239990236
3,0.03765099951186732,0.008770394204722358,0.05036896489106741,0.04430600474089898,0.03738603322693795,0.06492151553415743,0.047521345607284785,0.04398677011276078,0.0865966154946933,0.0722953962269952,0.04977990873405477,0.2529185630570402,0.051929654524468086,0.14613670586810157,0.005431128264949909
4,0.11323948970680753,0.044314879187413087,0.10708408637853828,0.06441228484514934,0.04267730702065898,0.004457364706938883,0.06423453418231978,0.016776927247607196,0.043596839528964544,0.040956829546589774,0.11152478265116904,0.11036569067733369,0.06918620645078033,0.16629065537651683,0.0008821224932127172
5,0.20983881875101243,0.056430276000266635,0.04470712300535562,0.07678283194351349,0.040510220439688965,0.09286203691833098,0.03839123920898044,0.0008460243780141575,0.0758107744888766,0.05286512659309677,0.02924731277458979,0.012270430024219481,0.13028700091264522,0.0004683666805893287,0.1386824178808201
6,0.2154791824189594,0.020910620795136853,0.11895045710569277,0.06634521354808999,0.061668238311301284,0.05444180034094062,0.08416731376732182,0.02020630638234379,0.06264042364375663,0.058781494948855734,0.040380179710847584,0.06427117014769393,0.06987580672636842,0.00017228141729804726,0.06170951073539314
7,0.09817752100344636,0.14154625538191024,0.05830931716266665,0.1155758708756277,0.023698964624043674,0.04825687379905701,0.07071457204058539,0.0001803749311712018,0.0688146147533857,0.13213056937091108,0.10655033527318472,0.052532666588438505,0.03858306283386968,0.037162388929443034,0.007766612432259045
8,0.09082064459369572,0.16861249744724546,0.061454161292746085,0.047574422586472875,0.00520506790987856,0.11056684860505636,0.1250770848838665,0.015534783100939226,0.07187568552901044,0.07214078382518672,0.0018792441891706394,0.0948775204355539,0.09361958114856402,0.03119488767197264,0.00956678678064083
9,0.04405957824334356,0.2550030951938398,0.0814202671741114,0.0650712735663121,0.00398702353867483,0.04597548357567918,0.0628723656452306,0.0014778731994140623,0.08847675778463442,0.16355546648601194,0.0005840617983352438,0.07330792402923769,0.019327391618706766,0.0022396096287053665,0.09264182851776304
