,Endothelial,CAFs,PVL,B-cells,T-cells,Myeloid,Normal Epithelial,Cancer Epithelial
0,0.10613323003053665,0.2985808253288269,0.20779184997081757,0.05868625268340111,0.09093799442052841,0.20890046656131744,0.00040366576286032796,0.028565719723701477
1,0.18751023709774017,0.05802391469478607,0.11780952662229538,0.0628947764635086,0.06828879565000534,0.01927120052278042,0.2955210506916046,0.1906805783510208
2,0.30034056305885315,0.15604820847511292,0.009208930656313896,0.3215721547603607,0.018433570861816406,0.12926629185676575,0.004183817654848099,0.06094645336270332
3,0.002956491895020008,0.13472424447536469,0.048388440161943436,0.4053006172180176,0.3470735549926758,0.05357978865504265,0.002869892166927457,0.005107027478516102
4,0.3252032697200775,0.4328397512435913,0.027072599157691002,0.04533180221915245,0.03997105360031128,0.0072358595207333565,0.021467791870236397,0.10087784379720688
5,0.06439844518899918,0.08851435035467148,0.12296905368566513,0.04544086754322052,0.007171132136136293,0.06469934433698654,0.31940504908561707,0.28740182518959045
6,0.025469951331615448,0.32249915599823,0.11252939701080322,0.02965984307229519,0.2341873049736023,0.23454080522060394,0.0022151495795696974,0.03889843076467514
7,0.06006433442234993,0.03743930533528328,0.2550755441188812,0.13605739176273346,0.1156926304101944,0.18258249759674072,0.04461902752518654,0.16846929490566254
8,0.036108583211898804,0.18496966361999512,0.2861477732658386,0.03178832679986954,0.06890907138586044,0.09077943861484528,0.19042739272117615,0.11086983233690262
9,0.09833332896232605,0.5182916522026062,0.029919540509581566,0.027904685586690903,0.14472658932209015,0.1247832328081131,0.018220342695713043,0.03782064467668533
10,0.004030449315905571,0.2276332527399063,0.12403421849012375,0.25164106488227844,0.021245338022708893,0.033574461936950684,0.02700955420732498,0.31083163619041443
11,0.016808239743113518,0.2870030701160431,0.16485750675201416,0.03029436431825161,0.11251330375671387,0.1746760755777359,0.12272978574037552,0.09111765772104263
12,0.004546379670500755,0.013048709370195866,0.05508188530802727,0.002543190959841013,0.3979441523551941,0.04384257271885872,0.40392979979515076,0.07906337082386017
13,0.05491095408797264,0.06819857656955719,0.4072607755661011,0.06771738082170486,0.020927641540765762,0.1306043565273285,0.10213110595941544,0.14824913442134857
14,0.06612450629472733,0.35749945044517517,0.08206932991743088,0.056599732488393784,0.014677600935101509,0.19899505376815796,0.11067752540111542,0.11335670202970505
15,0.024597320705652237,0.7288904786109924,0.07637473940849304,0.0011804838431999087,0.0021239472553133965,0.020771218463778496,0.01454349048435688,0.13151830434799194
16,0.4854239523410797,0.23517943918704987,0.010244730859994888,0.10186821967363358,0.0027802675031125546,0.025498392060399055,0.0006528552621603012,0.1383521854877472
17,0.09022179991006851,0.08532766997814178,0.03348425775766373,0.1443777084350586,0.07648321986198425,0.1325286328792572,0.2797047197818756,0.15787197649478912
