"","B","CAF","Endo","Macro","Mal","NK","T"
"1",0,0.212362177590554,0.136380284861492,0.17873280927881,0.374443519214429,0,0.0980812090547148
"2",0,0.195673164816232,0.140369701892416,0.216464610612044,0.28696470233666,0.0896362889050617,0.0708915314375864
"3",0.0391010076702546,0.253534858086615,0.0994929436291798,0.165112632858059,0.268929017103813,0,0.173829540652078
"4",0.0165479501414177,0.140265005550376,0.124791801609999,0.127638028376435,0.407606500266255,0.0321973544695536,0.150953359585964
"5",0,0.238736733121638,0.0851224901241989,0.248503319160448,0.233422326776302,0.0105385763376573,0.183676554479755
"6",0,0.213481456995072,0.110444580343375,0.391146284568654,0.222015219763428,0,0.0629124583294707
"7",0,0.227291609701642,0.0956752818560445,0.328756292890544,0.331365669621733,0,0.0169111459300368
"8",0,0.18863304117546,0.162971129017746,0.128982600420808,0.376157394961705,0,0.143255834424282
"9",0.16250381340941,0.258701990088099,0.0742088637892677,0.214839210969318,0.0899106805808138,0,0.199835441163091
"10",0,0.363415594287702,0.0915020514554967,0.172918249846567,0.270211533161546,0,0.101952571248688
"11",0.0139598089711245,0.20945597578134,0.0735276120640124,0.143579902842367,0.396928416209859,0.162548284131298,0
"12",0,0.262058185911425,0.11694726196933,0.205900080701223,0.144711011002103,0,0.270383460415919
"13",0,0.263675676795832,0.123037951336633,0.300041494755817,0.137809051973318,0,0.1754358251384
"14",0,0.171694202200992,0.073847723709809,0.29624128146872,0.284083233579331,0,0.174133559041148
"15",0,0.160038122163098,0.146684458335854,0.306225689164079,0.315805764025823,0.0295961549437044,0.0416498113674422
"16",0.0625330782939166,0.241286989563157,0.183693219465096,0.190726407225796,0.0628170187989561,0,0.258943286653077
"17",0,0.409302714559444,0.22179426342216,0.139022663969775,0.163576019876678,0,0.0663043381719432
"18",0,0.255630918356796,0.215023513554804,0.243822089348468,0.189718545873143,0,0.0958049328667892
"19",0,0.289148586890525,0.145109082767952,0.174717044088687,0.363757075077263,0,0.0272682111755722
"20",0,0.279101242146789,0.107536530130567,0.32876943092501,0.142135388026835,0,0.1424574087708
"21",0,0.386145773279221,0.0685424876370741,0.253791396932687,0.146402046979947,0.0335797003556776,0.111538594815393
"22",0,0.535917972835111,0.0976902703027631,0.196093842365897,0.128153028281791,0,0.042144886214437
"23",0.0477061066811868,0.285180554609956,0.0570322777817882,0.17314520048516,0.242315553518643,0,0.194620306923266
"24",0.0125444910730553,0.240531280213671,0.119154768926519,0.205717798640271,0.172145670244065,0,0.249905990902418
"25",0,0.200098657171233,0.114562507281656,0.146368630229377,0.489691963562619,0.0208513928401639,0.0284268489149519
"26",0,0.161850767114162,0.111724463188582,0.103316219199895,0.487037764953215,0.0454841873344019,0.090586598209744
"27",0,0.220231447310815,0.109358706686992,0.177585216507416,0.3970257133431,0,0.0957989161516785
"28",0,0.368548840270439,0.141496028523698,0.195524280441218,0.214143467432901,0.0418690791903015,0.0384183041414414
"29",0,0.20960907034344,0.14627166509847,0.166674995405014,0.380785568911758,0.0748684405665495,0.0217902596747685
"30",0,0.176925951040617,0.152644928565963,0.164283901233301,0.426127943554502,0.0510523744656178,0.0289649011399981
"31",0,0.162595897783109,0.149468929196044,0.133950032120514,0.449447205518409,0.0653453330275153,0.0391926023544087
"32",0,0.204248134326402,0.152165161479765,0.135644672201456,0.417889563281871,0,0.0900524687105059
"33",0,0.218188172009009,0.0812602514222532,0.431069103179409,0.125670046420471,0,0.143812426968858
"34",0,0.400857528910303,0.194445890641425,0.249913709679507,0.0519581175137421,0.0162003470820514,0.0866244061729719
"35",0,0.169520576618325,0.181948410832493,0.124418492488654,0.462912098249633,0.043256680557576,0.0179437412533186
"36",0,0.159233851289588,0.145289797827251,0.0400576563110054,0.565036580213962,0.0758932240898926,0.014488890268302
"37",0,0.113126114525554,0.150225557523103,0.0890977166089916,0.554014063620032,0.0628491234673177,0.0306874242550021
"38",0,0.20852298679482,0.0967410623923713,0.225571934154775,0.368154020987476,0,0.101009995670558
"39",0,0.164168956327446,0.136884925878987,0.0791887976330078,0.506779887792243,0.0469825318661975,0.0659949005021192
"40",0,0.210616795178172,0.152115055424496,0.261874744042602,0.357337177859615,0,0.0180562274951159
"41",0,0.450336078533973,0.111176372426296,0.134709275963586,0.129592054552343,0,0.174186218523803
"42",0,0.368133962983244,0.126792573863832,0.229675748585704,0.21648624731302,0.0589114672542011,0
"43",0,0.189919988711626,0.159052216812292,0.102494031322992,0.530513169358887,0,0.0180205937942033
"44",0,0.167788640093343,0.125609529929618,0.100954641503288,0.515112932450934,0.05217443240085,0.0383598236219664
"45",0,0.359497566590391,0.102609610375922,0.21845612025642,0.237650345790921,0.063805643720417,0.0179807132659296
"46",0,0.160017702184852,0.126062015422837,0.098238570982208,0.561892838467703,0.0139363581768548,0.0398525147655457
"47",0,0.181114783812158,0.166455393920755,0.0540267094935515,0.544071013889066,0.0543320988844691,0
"48",0,0.173524883726869,0.125511803034438,0.0647604100170648,0.524865664419717,0,0.111337238801911
"49",0,0.140826613277048,0.105285267568586,0.167208053530802,0.467980960631041,0.0164192280599069,0.102279876932616
"50",0,0.230979423859828,0.151855578188842,0.210919963112443,0.362698425751953,0,0.0435466090869334
"51",0,0.198551503739787,0.107994723285974,0.13402194464477,0.485865067368812,0.0271255532032088,0.0464412077574477
"52",0,0.214403420054584,0.153348048042676,0.204388770587781,0.312990466810782,0,0.114869294504177
"53",0,0.459809288759001,0.112336961559223,0.219820967420473,0.0394320235010534,0,0.168600758760249
"54",0,0.483382634992804,0.217232488791465,0.114364532460863,0.138653600880974,0.0463667428738938,0
"55",0,0.239619345226096,0.162983069073691,0.186906301138933,0.339593289290068,0.0462585587611162,0.0246394365100963
"56",0,0.225200635600257,0.132786013706344,0.22873884513172,0.359056183882715,0.0242889700143089,0.0299293516646552
"57",0,0.223172355286734,0.148752280807669,0.208276345571847,0.366675284786716,0.0140812717749513,0.0390424617720833
"58",0,0.215530339971494,0.106937040271674,0.278000299444387,0.373079402764664,0.0264529175477808,0
"59",0,0.223333802814588,0.125635767332787,0.211835935268875,0.420947143971407,0.0182473506123431,0
"60",0,0.20112387064334,0.121725953562004,0.0738183789135057,0.564584635153675,0.038747161727475,0
"61",0,0.166433787252751,0.129915446751132,0.0364851583634895,0.560688298154228,0.0593476725899751,0.0471296368884248
"62",0,0.218951575375943,0.191719868151968,0.144668461788344,0.429654894775325,0.0150051999084197,0
"63",0,0.182752206667553,0.118466665216624,0.0821576354656369,0.569191686643369,0.030366210964108,0.0170655950427084
"64",0,0.152570737111586,0.132626510884281,0.0899870236075336,0.548746838538472,0.037275997721919,0.0387928921362081
"65",0,0.165278678621826,0.170185047224899,0.103593253240114,0.496400244126037,0.0266784511877376,0.0378643255993856
