B,CAF,Endo,Macro,Mal,NK,T
0.106403045,0.025376517,0.023653787,0.097451895,0.42237955,0.0671614,0.25757384
0.010783369,0.0009803544,0.019159261,0.02138533,0.7664659,0.006513641,0.17471209
0.0029902041,0.008945892,0.09597473,0.019771943,0.72946036,0.004755155,0.13810173
0.004920676,0.110461295,0.09656206,0.16474152,0.40002552,0.13103503,0.09225395
0.0013612297,0.003228063,0.023531277,0.036067843,0.6298959,0.019120334,0.28679526
0.018828588,0.0060724337,0.01374794,0.029442959,0.6963278,0.026370022,0.20921023
0.004847233,0.008725295,0.07825897,0.22243053,0.40745935,0.03059687,0.2476817
0.037761487,0.033536937,0.031830736,0.19590652,0.44375685,0.04127981,0.21592773
0.22370298,0.17460978,0.047413103,0.113868356,0.08189089,0.15416503,0.20434986
0.42002335,0.25952655,0.026782675,0.046953183,0.09490566,0.03847708,0.11333142
0.0089042615,0.0030015486,0.013703101,0.019657282,0.3843753,0.025667997,0.5446905
0.0017500399,0.0018215044,0.019878037,0.006161449,0.55039114,0.04950703,0.37049073
0.0039843507,0.0034666196,0.011674609,0.0016895469,0.7410586,0.015420153,0.22270612
0.0031392407,0.0015579083,0.007023898,0.008988431,0.67263997,0.0075221932,0.29912835
0.031523474,0.0058820765,0.0130403,0.10903661,0.619478,0.014361359,0.20667818
0.016449727,0.00975734,0.033027165,0.009297354,0.6369616,0.0199271,0.27457976
0.013675725,0.0033351714,0.03184349,0.02917745,0.813355,0.0071582836,0.10145487
0.0056073917,0.004043082,0.027543426,0.019571694,0.86118287,0.012223542,0.06982808
0.0016358971,0.0016154795,0.04884848,0.011442533,0.8543487,0.0049084206,0.07720048
0.00088942575,0.0009411409,0.02038933,0.011131367,0.8468331,0.008867941,0.11094776
0.022608796,0.017641248,0.03097665,0.008748695,0.7846615,0.016657561,0.11870553
0.012108549,0.012784753,0.05219219,0.07329125,0.7005192,0.02557209,0.12353194
0.0060072285,0.0050714053,0.036940668,0.082225055,0.59057194,0.025781149,0.25340256
0.0054486003,0.039252028,0.07825352,0.13669762,0.3700498,0.22614063,0.14415778
0.112938255,0.2671416,0.04280512,0.11225884,0.15961638,0.07337411,0.23186569
0.26208264,0.24730876,0.036053456,0.06399126,0.07345049,0.25512144,0.061991923
0.13245401,0.2445057,0.076175556,0.077558056,0.123246975,0.06658783,0.27947187
0.1331927,0.0064560836,0.0057672444,0.099884614,0.25760642,0.11429282,0.38280016
0.00031494763,0.0020471653,0.011055948,0.0108444635,0.71129715,0.07407245,0.19036786
0.0012124144,0.0016931491,0.0050347378,0.007220933,0.7206824,0.007739034,0.2564174
0.0073797414,0.025859987,0.11669906,0.010483045,0.7666319,0.0018535093,0.07109267
0.23574004,0.011298113,0.013905455,0.0073870085,0.6350962,0.02764699,0.0689262
0.0051447623,0.004907226,0.022667006,0.008238212,0.8827886,0.005157768,0.071096405
0.0007840037,0.0026184588,0.057253968,0.006268126,0.84648645,0.027720071,0.058868807
0.0003084549,0.0015250051,0.03737362,0.006446202,0.8834795,0.0022053393,0.06866188
0.0051253415,0.0041970005,0.072266065,0.002354525,0.851356,0.01451792,0.05018309
0.0005533705,0.007885185,0.038521096,0.0035524995,0.85716105,0.01651993,0.075806886
0.001009909,0.005018356,0.023860844,0.017855875,0.8084683,0.046767607,0.09701918
0.0062840288,0.0064418716,0.07814667,0.06805138,0.4020436,0.03608534,0.40294713
0.16868205,0.15385419,0.061276574,0.17769521,0.25257194,0.10613935,0.07978072
0.12045354,0.23713306,0.083775595,0.097711876,0.10535848,0.07299414,0.28257334
0.1407953,0.25501138,0.14224572,0.042203724,0.09358759,0.08567542,0.2404809
0.28281674,0.12117281,0.1423399,0.12299185,0.03688907,0.0721271,0.22166254
0.18009287,0.23387644,0.089956254,0.16344325,0.042689074,0.07832855,0.21161357
0.21012118,0.38043535,0.13809498,0.10934031,0.03585233,0.06230388,0.06385196
0.04376339,0.0022095845,0.0018959539,0.025452675,0.6610684,0.0036569503,0.26195306
0.00013671922,0.00516726,0.041774627,0.43208992,0.33922496,0.0036636859,0.17794287
0.00087218004,0.0046321265,0.004017587,0.005076643,0.86757565,0.0081501175,0.10967577
0.0021532741,0.0040776916,0.028968668,0.0010370093,0.9181306,0.012690136,0.03294251
0.0019215571,0.0026346352,0.025583765,0.0049638376,0.89825773,0.0060526207,0.06058584
0.00057452207,0.0105783455,0.048176326,0.0015505421,0.7124405,0.004360058,0.22231974
0.00018242968,0.002627298,0.049262166,0.003990214,0.9004998,0.002641657,0.040796407
0.008519357,0.007894021,0.08085745,0.003490733,0.83975315,0.0035339566,0.055951282
0.00051899656,0.009156461,0.02818596,0.00089536223,0.87393343,0.017216345,0.07009342
0.0009332477,0.0089554135,0.021996226,0.0023773585,0.80133307,0.014993033,0.14941162
0.001977994,0.005613342,0.055641092,0.031911053,0.6866794,0.016890818,0.20128632
0.011583753,0.009797556,0.042828143,0.068095274,0.60804087,0.09273901,0.16691543
0.018780699,0.19511795,0.041139737,0.1102065,0.12515453,0.09326255,0.41633806
0.11741802,0.2847535,0.056744266,0.11213085,0.02752447,0.16873507,0.23269379
0.096028894,0.24170843,0.091518834,0.06095571,0.13483447,0.27273646,0.10221727
0.11068968,0.26946425,0.14267483,0.119007565,0.033793837,0.10409299,0.22027683
0.25326732,0.2407404,0.10645623,0.07018185,0.012347131,0.080800265,0.2362068
0.17060357,0.25906757,0.0504104,0.24770314,0.02023225,0.09436908,0.15761402
0.21595444,0.19788149,0.10026556,0.19011183,0.06593641,0.0545717,0.1752786
0.09228024,0.18450075,0.16615409,0.24557029,0.0017285454,0.19838656,0.111379564
0.14678684,0.19514912,0.09699921,0.21765521,0.08233249,0.03254609,0.22853106
0.0011919906,0.002164438,0.025508007,0.07826805,0.77649736,0.0049885903,0.11138158
0.027600482,0.0016648346,0.04419654,0.008158472,0.6232616,0.002674402,0.29244363
0.0012946769,0.004147194,0.009755708,0.0027200421,0.93598354,0.007901025,0.038197696
0.00037657228,0.0039236406,0.013567973,0.0013237427,0.8673606,0.08857516,0.024872318
0.00020606336,0.011238372,0.02946008,0.00097089075,0.92587864,0.004828153,0.02741775
0.00015320677,0.0035459765,0.040070485,0.0009085731,0.89954895,0.041235168,0.01453766
0.00010312162,0.0021500557,0.04271696,0.0017456491,0.92126894,0.0011664677,0.030848792
0.000900985,0.0035955985,0.0450034,0.0008364144,0.9262706,0.0032626644,0.020130407
0.005601056,0.006157226,0.044330463,0.0011470689,0.878968,0.018077299,0.04571881
0.015827587,0.0076962085,0.06869291,0.032632668,0.7048538,0.013483755,0.15681307
0.032085516,0.00979566,0.031298008,0.01903591,0.60470104,0.029793194,0.27329075
0.008156964,0.029325817,0.050579015,0.21169731,0.288555,0.0944331,0.3172528
0.33663318,0.16323757,0.085818596,0.071441345,0.08439192,0.05578512,0.20269218
0.20262158,0.10538487,0.08633993,0.06538421,0.3585631,0.09070383,0.091002494
0.0756468,0.27694947,0.11691715,0.20984067,0.011060801,0.19856213,0.11102301
0.1224246,0.24863392,0.07543087,0.19535765,0.009363181,0.23742321,0.111366555
0.13977656,0.20139456,0.045336563,0.049980715,0.3229832,0.12945257,0.111075796
0.16181065,0.11048682,0.04152846,0.055081572,0.49559525,0.08180096,0.05369628
0.33476534,0.25177568,0.16101888,0.08793481,0.010583285,0.044658985,0.10926304
0.20500055,0.35830382,0.11949417,0.11937182,0.011780197,0.09073831,0.09531114
0.257425,0.22004929,0.10311495,0.12747961,0.0002339303,0.038892116,0.25280505
0.10798842,0.096415885,0.1140212,0.50944525,0.0057520354,0.009293024,0.15708417
0.13515732,0.24025142,0.14893156,0.1848734,0.029828774,0.010691086,0.25026643
0.13344118,0.48548186,0.07523125,0.046543885,0.00042999283,0.04757197,0.21129996
0.051752437,0.30411446,0.12961969,0.039763376,0.15479809,0.0043579037,0.31559408
0.0011837748,0.009121552,0.006866587,0.018145092,0.7702702,0.16595091,0.02846184
0.018653488,0.021855308,0.020176055,0.008119419,0.841537,0.06306429,0.02659435
0.013508231,0.004966138,0.008223414,0.064035736,0.78553355,0.0019464733,0.121786535
0.00017472013,0.011173179,0.034176894,0.012672838,0.8674666,0.004958493,0.06937727
0.0020812906,0.020498324,0.016410667,0.0093254885,0.93406045,0.0012203208,0.016403476
0.0002697876,0.005965213,0.04090706,0.008242687,0.9187022,0.009842646,0.016070364
0.0088393055,0.0067512738,0.021602381,0.0028057673,0.93244386,0.0030322429,0.024525125
0.008401413,0.0056225252,0.09929986,0.004180368,0.71046495,0.1330765,0.038954366
0.29436952,0.027630856,0.08334345,0.015214063,0.26427302,0.11122637,0.20394272
0.21249264,0.044340253,0.05613345,0.006872899,0.50876474,0.012404108,0.1589919
0.08711814,0.0831999,0.095984876,0.110961445,0.23728038,0.119122826,0.26633248
0.14160562,0.22143164,0.15861861,0.1465221,0.01696036,0.035982586,0.27887905
0.12644386,0.28551918,0.1676758,0.20983848,0.021296745,0.023918085,0.16530783
0.12137518,0.2886047,0.20644909,0.0474529,0.005712821,0.0893906,0.24101469
0.10549603,0.17550643,0.18350118,0.06142572,0.021640083,0.09568735,0.35674316
0.30438316,0.124513716,0.16461357,0.07009176,0.0035624495,0.18446305,0.14837229
0.40175596,0.2356892,0.105843335,0.05533482,0.01336495,0.111940615,0.07607107
0.40138978,0.09356793,0.104539685,0.0792822,0.018197969,0.10418995,0.19883251
0.20505123,0.21545042,0.15142679,0.05868079,0.0024949796,0.07869469,0.2882011
0.17718948,0.21879238,0.17201325,0.08752309,0.08365234,0.029820202,0.23100926
0.14374554,0.27036634,0.20756437,0.06656247,0.0074131154,0.14383224,0.16051592
0.25063542,0.2396259,0.22967744,0.046793282,0.00012746814,0.06527802,0.1678624
0.25653934,0.30627775,0.103752784,0.049525198,3.7851532e-05,0.023881424,0.2599857
0.23241946,0.3021509,0.11418702,0.09225531,0.0006074164,0.031001009,0.22737883
0.0011811773,0.0058255657,0.005932482,0.007608193,0.95571685,0.0024565614,0.021279212
0.0014789442,0.00698935,0.011851883,0.0044098115,0.95330137,0.009340394,0.012628336
0.00015564985,0.0063302205,0.03816144,0.008842343,0.93125916,0.0047795526,0.010471651
9.841351e-05,0.008861369,0.01264474,0.004922988,0.95302117,0.0019410116,0.01851036
0.0018166059,0.0044600475,0.01218033,0.003887821,0.9565902,0.0030398276,0.018025156
0.006477336,0.018037546,0.023936056,0.1359027,0.7905067,0.013908118,0.011231581
0.07273545,0.027124055,0.026537508,0.0065362914,0.821513,0.015200681,0.030352958
0.10310761,0.029803485,0.032088578,0.018997852,0.5011747,0.022373097,0.29245472
0.26009133,0.08615842,0.07994818,0.0143145565,0.16117811,0.15892003,0.2393894
0.1274616,0.10695612,0.114726774,0.1839197,0.099146016,0.11578773,0.25200203
0.1971794,0.25404546,0.06053425,0.063160546,0.020946728,0.059598316,0.34453535
0.07261819,0.23792538,0.12570445,0.2229247,0.009629329,0.18140458,0.14979337
0.14210546,0.28891397,0.090053275,0.107080154,0.099241294,0.22646081,0.046144996
0.43322816,0.21672612,0.09550388,0.05562164,0.004612685,0.08373269,0.11057477
0.16770011,0.09633239,0.06280765,0.38452333,0.0031693813,0.20544133,0.080025814
0.31802976,0.15047756,0.13431671,0.06672145,0.00038283019,0.21569684,0.11437492
0.35989755,0.07379339,0.13837439,0.042683333,0.00010697117,0.16703567,0.21810862
0.29903042,0.1365351,0.118104614,0.069419295,0.00016893305,0.20415714,0.1725845
0.29727423,0.22823495,0.07257964,0.019912295,0.0004396013,0.25183603,0.12972324
0.30064887,0.17307064,0.13777545,0.054311447,0.00095424964,0.16499196,0.16824731
0.48553443,0.16591868,0.112836935,0.008896678,6.0209102e-05,0.005790186,0.22096285
0.14602977,0.27602682,0.15045047,0.023789847,0.08888967,0.006644125,0.30816936
0.2718248,0.30715495,0.15720712,0.14790536,0.00042074514,0.0065200427,0.10896698
0.0011329508,0.010309703,0.018736443,0.01946961,0.74707687,0.0018233996,0.2014511
0.04703055,0.01071501,0.00699657,0.011475973,0.90966815,0.0006413312,0.013472386
0.0063945185,0.015649594,0.004588594,0.01139358,0.914837,0.0021073949,0.045029316
0.00029023289,0.014813333,0.01392138,0.006542271,0.9186804,0.01216026,0.033592075
0.07600072,0.011972249,0.0120100435,0.060973458,0.8038764,0.017875772,0.017291322
0.05004051,0.044042528,0.06341071,0.042524714,0.7814692,0.008188384,0.01032394
0.04214653,0.028554978,0.018613813,0.047283094,0.653031,0.023172054,0.18719856
0.4037571,0.122646116,0.090413295,0.025059784,0.12506151,0.09342602,0.13963619
0.214949,0.16704887,0.05290181,0.09730898,0.06746938,0.13292862,0.26739326
0.05811587,0.27521068,0.07089018,0.17786406,0.07163924,0.07681606,0.26946387
0.09729032,0.2854733,0.084541604,0.08967431,0.025608148,0.012942445,0.40446985
0.11515947,0.2868082,0.07106263,0.12530623,0.059613485,0.012002559,0.33004746
0.09673222,0.26218,0.08241077,0.101751715,0.12610051,0.20893455,0.12189023
0.34954017,0.13787806,0.15872647,0.045125306,0.06689745,0.21068114,0.031151399
0.27150434,0.1877892,0.13749298,0.114211336,0.01501999,0.11895149,0.15503062
0.35726383,0.10788447,0.14810899,0.051791683,0.00148516,0.2264058,0.107060075
0.4415614,0.044301286,0.19323134,0.0052582356,1.8871579e-05,0.2734216,0.042207323
0.4849078,0.028161252,0.114594005,0.006440969,3.5118464e-05,0.26031196,0.10554888
0.17858008,0.18006083,0.12629282,0.009141546,0.049870215,0.11684158,0.3392129
0.29816642,0.16265626,0.14824435,0.03352159,0.00015074965,0.056472614,0.30078796
0.48502183,0.08887155,0.093889125,0.0021579727,0.0001533654,0.20916764,0.120738484
0.4350546,0.12728614,0.24701393,0.0066248574,0.0016344142,0.016405348,0.16598073
0.00040673045,0.008101973,0.024025582,0.055951755,0.63046646,0.0015247888,0.27952275
0.0009949657,0.0035463278,0.0063254246,0.0032580604,0.9462732,0.0010613392,0.038540594
0.00016811973,0.006714942,0.018789107,0.0041173142,0.8935923,0.0006922966,0.07592581
0.0014774685,0.0074595204,0.04656875,0.01491945,0.79134065,0.0014791947,0.13675492
0.00795192,0.010734264,0.027850658,0.014435738,0.8736676,0.024854012,0.0405058
0.006358254,0.044794723,0.14148796,0.176684,0.2482251,0.2314576,0.15099242
0.07506249,0.082010195,0.02526851,0.32637903,0.081965655,0.0538099,0.35550427
0.063788,0.25949347,0.086692244,0.19390677,0.031460688,0.07041501,0.29424375
0.009691421,0.27613273,0.053251605,0.2780391,0.035967443,0.024644304,0.32227337
0.043846466,0.2867782,0.047445003,0.12628174,0.096041314,0.013914922,0.38569236
0.035876628,0.2808107,0.08053133,0.28305537,0.014601847,0.17244403,0.13268003
0.12184063,0.2440855,0.12343691,0.17278084,0.1115451,0.021442406,0.20486861
0.23242728,0.17327657,0.12654647,0.15124646,0.0021961455,0.17083883,0.14346826
0.32541227,0.111191824,0.18523648,0.069609605,0.00023127107,0.20023435,0.10808419
0.5397613,0.016504813,0.112312526,0.022075895,3.7233458e-05,0.29400396,0.015304364
0.530082,0.011760086,0.088544436,0.003351382,1.120523e-05,0.29512024,0.07113066
0.433764,0.0071817692,0.10052897,0.0017350848,1.3711568e-05,0.20973682,0.2470397
0.19032829,0.06442952,0.06892343,0.0041445605,2.6017082e-05,0.3419999,0.3301483
0.18449724,0.022996668,0.07176501,0.0007638547,0.12819384,0.43182808,0.15995526
0.27405727,0.20565043,0.16903529,0.0024755937,0.13019173,0.06410439,0.1544853
0.0008316426,0.0057017165,0.037258185,0.027037207,0.5958706,0.0005147936,0.33278587
0.00031050734,0.0077206977,0.026169706,0.005439295,0.7579057,0.0075187297,0.19493529
0.006993596,0.0031282813,0.026597328,0.019390393,0.8641769,0.007448986,0.0722646
0.0030061295,0.009820898,0.020971365,0.11244657,0.72365534,0.025895255,0.10420449
0.11575323,0.13731737,0.11578708,0.17406428,0.08644252,0.13905524,0.23158032
0.0071761967,0.102472916,0.10290345,0.25702924,0.12742859,0.056889094,0.34610057
0.06442024,0.28662807,0.09280996,0.09451351,0.03817205,0.02799081,0.39546528
0.05940976,0.31103367,0.059211634,0.09686858,0.024842285,0.07600891,0.3726251
0.017513776,0.33884442,0.05069521,0.15390585,0.0675997,0.1702523,0.20118873
0.1317412,0.32387865,0.18465373,0.21953079,0.043959726,0.021398967,0.074836984
0.15117884,0.25997978,0.16801044,0.20032305,0.048885968,0.028470673,0.14315122
0.14219834,0.0980133,0.17325762,0.07320336,0.22401164,0.2758729,0.013442874
0.29848412,0.15885276,0.18157354,0.16887097,0.013357811,0.14813332,0.030727442
0.5575669,0.006826657,0.10108458,0.026916722,4.8337683e-05,0.27877206,0.028784756
0.50435925,0.0037005083,0.1092802,0.009149153,2.4577985e-05,0.2659948,0.10749157
0.23463745,0.0009334602,0.09118213,0.006374281,5.4273105e-06,0.28727713,0.37959015
0.28077856,0.00349699,0.12248401,0.00027458824,1.500589e-05,0.1487033,0.44424754
0.297111,0.0060470705,0.1323674,0.0009380544,7.90091e-05,0.12140608,0.44205147
0.00023468459,0.004567075,0.15898669,0.02016631,0.1976854,0.0011760443,0.6171838
0.0016005138,0.0174535,0.18604025,0.025022026,0.48840427,0.22213776,0.059341703
0.0030245166,0.023117974,0.10472723,0.31693974,0.33990178,0.19882455,0.0134641845
0.013376961,0.09759777,0.044694327,0.4315958,0.02421805,0.15708116,0.2314359
0.15660451,0.24369112,0.14498276,0.095709726,0.043272637,0.08707081,0.22866844
0.29194847,0.23300761,0.13474697,0.021529613,0.03785076,0.14460339,0.13631323
0.1567771,0.29405406,0.0897847,0.03810004,0.03525644,0.024357611,0.36167008
0.22262058,0.32903424,0.117017955,0.13100626,0.14917685,0.017404294,0.03373981
0.09036614,0.17255479,0.15020902,0.038040098,0.32791784,0.20361276,0.017299404
0.12902251,0.27779144,0.16371655,0.16359173,0.09540003,0.045928106,0.124549635
0.22101837,0.16517513,0.25155464,0.095578365,0.009526474,0.25139594,0.005751042
0.35575622,0.13108681,0.12684794,0.14262399,0.06333177,0.17028452,0.010068703
0.57794464,0.0056618103,0.11366373,0.022082398,6.527319e-05,0.2397407,0.04084137
0.4894566,0.00095753884,0.123382464,0.0046836054,5.145429e-06,0.055566974,0.32594776
0.44581455,0.0014399121,0.11520518,0.013677123,9.0699454e-05,0.0585208,0.3652517
0.47296163,0.0027855374,0.0855204,0.0010763388,3.6367874e-05,0.21635413,0.22126558
0.33417046,0.14380935,0.10143812,0.16608496,0.065190606,0.1186203,0.07068623
0.035624724,0.22902083,0.16060457,0.24728516,0.03175162,0.1293144,0.16639875
0.32452264,0.11970807,0.048456926,0.086328134,0.045338646,0.26658183,0.10906373
0.07744561,0.29349786,0.11616773,0.021222899,0.12488195,0.04924015,0.31754375
0.03944921,0.2876116,0.22005206,0.10605765,0.14586417,0.036850594,0.16411476
0.06933951,0.33910286,0.14544569,0.18452048,0.10724346,0.11510364,0.039244305
0.085751444,0.28727677,0.09932527,0.13917644,0.18023849,0.08740215,0.12082945
0.1598349,0.27521878,0.16271299,0.19087657,0.12381323,0.01658573,0.07095779
0.30527183,0.13244577,0.064658396,0.07903301,0.3806953,0.036345452,0.00155028
0.293084,0.19407757,0.20429496,0.13003005,0.0038488912,0.052489407,0.12217518
0.51070124,0.0043486073,0.16951948,0.016746849,4.9265487e-05,0.11985179,0.17878279
0.41897732,0.013628595,0.12753384,0.0055209296,2.4425568e-05,0.16498366,0.2693312
0.44347802,0.00068280916,0.07678274,0.0025963264,0.00096933136,0.041950718,0.43354005
0.061841086,0.14985624,0.06616449,0.01127887,0.53914917,0.07741134,0.094298854
0.05556209,0.31091878,0.21472944,0.027166696,0.1626144,0.053088892,0.17591976
0.30969507,0.13296929,0.30699795,0.09161465,0.13876997,0.015701158,0.004251826
0.18097296,0.26176387,0.07387103,0.13433126,0.2022577,0.054589078,0.092214145
0.35806543,0.10586459,0.08852854,0.09168208,0.28663716,0.06737064,0.0018515566
0.37258336,0.19826509,0.15613833,0.10505693,0.077542484,0.07738591,0.01302796
0.49395502,0.016073488,0.2153852,0.013517363,0.00012486793,0.18352735,0.077416696
0.576169,0.0032134599,0.09673448,0.005558585,5.7255365e-05,0.11375476,0.2045124
