"","cell_ID","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Cancer Epithelial"
"1","1",0.154608647680169,0.302195162287765,0.0343170716392936,0.266660442585934,0,0.242218675806838,0,0
"2","2",0.0466684501761193,0.0752313387359927,0.0992223333249516,0,0,0.0455935332864842,0.00945268806439047,0.723831656412062
"3","3",0.166320641109961,0.266739904983788,0.0542504442266012,0.27488569831562,0,0.118602079723672,0.119201231640357,0
"4","4",0.208103335179617,0.0471340004006074,0,0.558526454053649,0.000890403617871405,0.185345806748255,0,0
"5","5",0.0608979630426761,0.229635839321966,0,0,0,0.0362496258260174,0.030165932759105,0.643050639050236
"6","6",0.0263326187836614,0.0319627850265835,0.15118630248829,0.0115006969600162,0,0.0487227234232113,0.00952443666854708,0.720770436649691
"7","7",0.245655370144341,0.273837037524599,0,0.235596719007557,0,0.244910873323503,0,0
"8","8",0.0231477069312742,0.0539420428117757,0.100353882944237,0,0,0.0957257297348964,0.00263600890568295,0.724194628672133
"9","9",0.0201185681760308,0.125247375341026,0.0747810832752155,0.214610688913995,0,0.0595110782049984,0.00738184328840055,0.498349362800333
"10","10",0.071236768461408,0.217428007868048,0.0207527202689301,0,0,0.206973621672039,0.0124441490601774,0.471164732669398
"11","11",0.0202041121667119,0,0,0,0,0,0.0483186444328099,0.931477243400478
"12","12",0.0079314184952787,0.162198237384012,0.0504369854565336,0.0113243969625987,0,0.12383851362975,0.0461723709310804,0.598098077140747
"13","13",0.0846248199434661,0.06988757364871,0.115447447797342,0.243372012721986,0,0.0821270329822311,0.0418764318306287,0.362664681075636
"14","14",0.00926702372903799,0.0559865679312881,0.120992395611713,0,0,0.0524294890056321,0.00333052346776107,0.757994000254568
"15","15",0.0620202020902457,0.188103385090344,0,0,0,0.31087744338152,0.0428229461355875,0.396176023302303
"16","16",0.190122951886073,0.336813352969737,0.179388208421545,0.0415149704980326,0,0.0829903664893876,0.169170149735224,0
"17","17",0.177728598230814,0.313753862761272,0.141656044802115,0.0932179968646183,0,0.128368335470161,0.145275161871019,0
"18","18",0.0150579984829122,0.0605240501537677,0.106684174990413,0,0,0.0371190698654209,0.0140629166822036,0.766551789825283
"19","19",0.247426570547776,0.477550013946494,0.016644177724215,0.0567916962603229,0,0.0507084599360574,0.150879081585134,0
"20","20",0.0850192715744875,0.116290042587006,0.0630950283157484,0,0,0.136508933130945,0.0415654491797162,0.557521275212098
"21","21",0.0320792397653865,0.163954702461422,0.0143289680443811,0,0,0.0145692811864157,0.0139609773586699,0.761106831183725
"22","22",0.143876979381483,0.0825205794867632,0.0494796716134574,0,0,0.154626621028779,0.0248804414254675,0.544615707064049
"23","23",0.014351092378147,0.0350395058847162,0.16003916406041,0,0,0.0365797454556276,0.00396994975326954,0.75002054246783
"24","24",0.0272906670212423,0,0.0312846682678351,0.0243896982179281,0,0.0305087692000316,0.0578782233432405,0.828647973949722
"25","25",0.0259452941156132,0.0918076529933205,0.0911021576123617,0,0,0.161231007661007,0,0.629913887617697
"26","26",0.0578960918488688,0.486383093739261,0.115991632033166,0.121709089590091,0,0.0330549614801318,0.184965131308481,0
"27","27",0.0334823568289251,0.133374433674804,0.0520439004663797,0,0,0.0477681866842959,0.00668537833213105,0.726645744013464
"28","28",0.0790206134655869,0.191574253909959,0.0741634729390689,0,0,0.193668301275323,0.0449178882211613,0.416655470188901
"29","29",0.259277659244859,0.296100133132341,0,0.243084157858096,0,0.201538049764705,0,0
"30","30",0.0912338139937564,0.108866510649134,0,0,0,0.200672803065865,0.102194408371721,0.497032463919523
"31","31",0.205577057139052,0.282022761760733,0,0.111097190692417,0,0.401302990407798,0,0
"32","32",0.232134065573471,0.302527222622973,0.0505816482033432,0.146233607014301,0,0.188346476841965,0.0801769797439465,0
"33","33",0.167488170483478,0.151283033461328,0.0344354201602874,0.21420734416993,0,0.3553816785373,0.0772043531876758,0
"34","34",0.020882742491259,0.11992790523112,0.0745556470977363,0.0234764972157076,0,0.110614494351996,0.0297535617944865,0.620789151817694
"35","35",0.0884948730449056,0.192319075840309,0,0,0,0.148764216806685,0.138414773111395,0.432007061196705
"36","36",0.19644660459772,0.303604897688641,0.0338651752169195,0.404622326300403,0,0.0614609961963163,0,0
"37","37",1.02619195079192e-17,0.0895679822865358,2.0494473437724e-19,1.59110112402039e-17,0,0.00285123102901593,0.907580786684448,2.26268413695546e-19
"38","38",0.101613058540321,0.192940108272634,0.0805191678649299,0.0352132232824003,0,0.110868119425164,0.0142976245057339,0.464548698108817
"39","39",0.0664088763909231,0.153203813982557,0.00799456013485222,0.0345714190083148,0,0.0903718368013722,0.149286364818609,0.498163128863371
"40","40",0.115660447348983,0.297050897105942,0.193638119143194,0.0426693609153443,0,0.183684114320793,0.167297061165744,0
"41","41",0.00372768709615303,0.131787440262708,-1.69740767981144e-22,0,0,0.029024261269783,0.029057572687304,0.806403038684052
"42","42",0.102201454398812,0.113198556743495,0.029330112936444,0,0,0.196308381772342,0.141286994188711,0.417674499960196
"43","43",0.0240879108046504,0.136590794630135,0.0789068073565445,0,0,0.120707876642929,0.0115543026701342,0.628152307895607
"44","44",0.0653177902660307,0,0,0.00718267636047778,0,0.105986873321189,0.0408484465146469,0.780664213537656
"45","45",0.0260887615094345,0.0709629288183631,0.0802756192486133,0,0,0.191883249487118,0.0619801920871903,0.56880924884928
"46","46",0.0933200818231692,0.354917220717508,0.10166430679144,0,0,0.105442609996192,0.344655780671691,0
