"Endothelial cells","Fibroblasts","PVL","B cells","PCs","T cells CD8","T cells CD4","NK cells","Monocytes and Macrophages","Dendritic cells","Epithelial cells"
0.160645637310899,0.0202854500008461,0.0591074179069271,0.069323885668559,0.0495057444178553,0.0209841762566841,0.0763179488473709,0.00508614191951418,0.0924174624442236,0.0587705775340321,0.387555557693089
0.214163699186302,0.0763742330377561,0.0404520850023237,0.0809280000302355,0.0798244498974956,0.0204235787263295,0.0526411791648695,0.0204253541450451,0.282891709096825,0.0336585982453738,0.0982171134674438
0.142998952552516,0.113445795672515,0.0267659694745591,0.0277044893234948,0.368541400965372,0.0258395941951349,0.0242246291091082,0.00604766590027433,0.0386795347449973,0.0218769766455506,0.203874991416478
0.0980369788246916,0.257052121115937,0.0379295692086591,0.0385724436518259,0.0181917353552447,0.00295688155972792,0.00255400670247096,0.00271176772134862,0.473257728660493,0.00747443541162775,0.0612623317879733
0.110764727101789,0.134905944020555,0.0268676383545846,0.0719244470796741,0.229798671854307,0.0772448302414048,0.113931032010659,0.046837661014372,0.121655769440945,0.0250297561951598,0.0410395226865489
0.260429548469747,0.0910524539508015,0.0103747969272862,0.098168412512028,0.153660310107933,0.145967134012158,0.0854387332685098,0.0279776752410336,0.0633547469532236,0.0247310892155709,0.0388450993417083
0.16172009727869,0.119226137456016,0.050062120551413,0.104450791794542,0.0415726422678916,0.0579430400853687,0.150445809985324,0.0254050936945367,0.170376508703856,0.0442918060611524,0.0745059521212095
0.117848422323561,0.199015426031531,0.0338295832770052,0.0114710462783939,0.116613629097918,0.0250558252132066,0.023941537444274,0.00515596087301867,0.414515942610984,0.00379064021138542,0.0487619866387234
0.338326823459399,0.0379355401231907,0.0488142167271251,0.0839594792552953,0.0539615099482468,0.0764444594806512,0.146049102011704,0.0295295003244683,0.0548537587933933,0.0323949922596946,0.0977306176168317
0.112586336756916,0.171665215758925,0.0340308195177782,0.0852774476490287,0.21093150308721,0.0426741922418209,0.0488130299242092,0.0162586519304061,0.096149491655859,0.0218424856327677,0.15977082584508
0.0454633972972972,0.0166081473376487,0.0290352864816954,0.198919504158364,0.0203396330158653,0.0221968657509127,0.0902052059923724,0.00680591255452624,0.012466698570091,0.0821631287084984,0.475796220132728
0.0795557843780012,0.0268570098255806,0.0431909237162043,0.0887177402623154,0.0969570798364794,0.0223517963275557,0.0339408183586277,0.00287014415639405,0.0388960190427938,0.0331651885099961,0.533497495586052
