"","L2-3 IT CTX-1","L4-5 IT CTX","L5 IT CTX","L5 NP CTX","L5 PT CTX","L6 CT CTX","L6 IT CTX","L6b CTX","Lamp5","Sst","Vip"
"1",9.24710781632149e-05,0.00291000156127714,9.24710781630504e-05,9.24710781632168e-05,9.2471078177086e-05,9.2471078163218e-05,9.24710781749588e-05,0.934918072786074,0.0571395526356101,0.00138499595107949,0.00309255059695478
"2",1.64666349535075e-05,0.000180994061079744,1.33707755727201e-05,1.38338500215178e-05,1.33707755726689e-05,0.1556307952634,0.0152835555754502,0.814205226299144,0.0127931189470487,0.000563975402618147,0.00128529241513933
"4",0.000140752346814323,0.000140752346822356,0.000140752346811968,0.0381613499662857,0.000140752346817597,0.000140752346811969,0.0377362834472409,0.872142068946082,0.0456038832900138,0.000140752346762692,0.00551190026953685
"5",7.29470672936918e-05,7.29470673063e-05,7.29470672937005e-05,0.036985184276368,7.29470673046778e-05,7.29470672936763e-05,7.29470672963754e-05,0.947601555857989,0.0146354354054135,7.29470673522279e-05,0.000267194989088674
"6",0.000153290140416231,0.000153290150218907,0.000153290140528307,0.000169657602337801,0.000153290140178741,0.000183390540114121,0.000153290140432648,0.894458463830727,0.0902669683018454,0.000153290140224918,0.0140017788729756
"7",0.000378181732111441,8.48352368450303e-05,8.48352381940274e-05,8.48352387806933e-05,0.000166775628193669,0.000207826098108931,8.48352382193235e-05,0.829184290718482,0.00012497880882577,0.158153386702207,0.0114452193600325
"8",0.000411406801277966,4.26115338537892e-05,4.26115338684265e-05,6.59608230302822e-05,4.26115338684308e-05,0.155403068637967,0.028012838758274,0.777504218926258,0.0286428569135022,4.26115338451556e-05,0.00978920300425512
"9",0.182872199161986,1.75621675543377e-05,1.75621541107351e-05,1.75621541109194e-05,1.7562154111194e-05,0.0179234418866725,0.17435537849407,0.577075822011957,0.0330573516462357,1.75621951423546e-05,0.0146279959740489
"10",0.133936346630766,6.48162078481654e-06,6.48161938816994e-06,1.0427960824543e-05,6.48161938858586e-06,0.176239560965769,0.0424068432590191,0.483949210737984,0.158026276917961,0.00509083281728655,0.000321055850828246
"11",0.142244947407303,1.71207809570559e-05,3.64862127571154e-05,1.71207809924239e-05,1.7120780992464e-05,0.229814724130584,0.125286464056027,0.34949278165816,0.152712220270551,1.71207809803576e-05,0.000343893140696076
"12",0.0229947306016151,0.421523567622554,0.000112046242657739,0.139148976026598,0.000112046242657753,0.025804601288268,0.000112046242657823,0.18216640365961,0.199306095734125,0.00859059815280485,0.000128888186452012
"13",0.0546516545902232,3.23059748728981e-06,3.23059748112472e-06,0.208808321469191,0.42964550644876,0.056413473451485,3.23059748114516e-06,0.178101571097984,0.0691367517164488,3.23060028938362e-06,0.0032297988331691
"14",0.180351374797936,5.10780982703529e-05,5.10780982386299e-05,5.10780982345615e-05,0.0227006022271935,5.10780982345611e-05,5.10780982752345e-05,0.756042504563892,0.0324807198732326,5.10780982126539e-05,0.00811832994827938
"15",5.99558680435055e-05,0.0482466455071631,5.99558680427752e-05,0.375472965522413,5.9955867660776e-05,0.0711848344110468,5.99558680096764e-05,0.240512616453402,0.235078637745035,0.0292045210211445,5.99558680393008e-05
"16",0.11050560528535,0.000102749576980663,0.000102749576982175,0.000102749576980032,0.032615251818443,0.0327101858838862,0.157994689366146,0.464714096423161,0.000102749576984026,0.194633744640122,0.00641542827496522
"17",0.442796480165287,0.0578580233061334,0.000102134048640054,0.000102134048654558,0.000102134048640816,0.360698875109806,0.000270091589466362,0.106297758444527,0.0254243617802718,0.000102134048592955,0.00624587340998071
"18",0.0253604644319892,0.0543773031626665,8.81585797818278e-05,8.81585797743228e-05,8.81585797818581e-05,0.118675583359385,8.81585797818263e-05,0.654189994538554,0.120494303908876,0.0239194631736093,0.00263025310580007
"19",0.152135972463858,0.0737981190200112,0.000167284323771515,0.0829337748138565,0.000167284323787518,0.00992815080263851,0.000245879436229991,0.65927883578138,0.01305678940164,0.000167284322856008,0.00812062530997096
"20",0.41032849977098,8.78151881815451e-05,8.78151881821346e-05,0.234318380426954,8.7815188182582e-05,8.78151881813546e-05,0.0131898787201278,0.322013774173299,0.0179795380809071,8.78151881342303e-05,0.00173085288687026
