L2/3 IT CTX-1,L4/5 IT CTX,L5 IT CTX,L5 NP CTX,L5 PT CTX,L6 CT CTX,L6 IT CTX,L6b CTX,Lamp5,Sst,Vip
3.630364e-07,0.09175234,0.009246762,0.8534861,0.00046327114,1.3750723e-08,1.7243051e-09,2.495127e-05,0.00014677198,6.747394e-05,0.04481188
0.0023306087,0.00026640258,0.06253305,0.047082946,0.09189281,0.010969746,0.03864565,0.55326915,0.0007933638,0.188342,0.003874335
0.00069260405,1.9559582e-06,0.011254898,0.95877945,0.00014020686,1.6960224e-06,0.0049523916,9.6234464e-05,0.017652243,5.213083e-08,0.006428257
1.6787844e-07,0.039987296,0.022442812,0.8816754,0.0008461206,2.6401216e-07,9.470132e-09,4.321184e-05,0.00072287273,5.0083076e-05,0.05423168
4.026152e-05,0.002032805,0.0021966517,0.9534043,0.022448495,7.2801115e-10,6.3392402e-09,2.0016946e-08,0.00011800229,4.59948e-12,0.01975952
0.0006970885,7.875518e-08,1.7873309e-07,1.2654932e-05,0.0040449486,0.002035124,1.5215056e-05,0.91458356,0.038714845,0.0010968995,0.038799264
9.222811e-06,8.943151e-09,6.6781525e-11,1.8603753e-08,4.121103e-06,0.00039262476,1.5701447e-07,0.20331658,0.000119050965,0.79453504,0.001623183
4.949327e-05,6.6736625e-06,6.780177e-05,6.8723407e-06,5.891677e-06,0.6256327,0.12804216,0.230889,0.00014010425,0.014395813,0.00076343
0.057071414,6.4376745e-06,1.0114651e-05,7.2413654e-06,0.0040710336,0.74239755,0.030278213,0.046991363,0.019032763,1.1642856e-05,0.10012212
5.393565e-05,0.00042552466,0.0011770017,0.0001903506,2.4495743e-05,0.7017811,0.022746429,0.031348176,0.0015847725,0.23294184,0.0077264044
0.0016195036,5.296711e-07,0.09091313,0.016716972,0.013804234,0.19484484,0.4386826,0.10114967,0.14067867,6.126748e-06,0.0015838189
0.27708185,0.068650566,0.022521915,0.0005917528,0.00018722724,1.3659049e-05,0.35900766,7.4305785e-07,0.2553124,0.013642784,0.002989467
0.024337936,3.4793577e-06,0.12453432,0.032557372,0.104576364,0.016422633,0.5292403,0.020504083,0.14721484,5.3638055e-06,0.00060321705
0.011279876,1.8268133e-06,1.901669e-05,0.0012716724,0.9256076,7.1579785e-07,2.3938424e-06,0.006274596,0.046019785,0.0086547565,0.0008677641
3.7967796e-11,2.7049464e-07,0.0026585306,0.3246427,3.5697717e-08,0.044938162,3.768042e-05,0.04335278,0.00014900479,0.45739385,0.12682709
0.0016250279,0.29092357,0.41062364,0.12432574,0.003105312,1.8859892e-07,0.007172838,9.302866e-07,0.0015859654,0.15218231,0.008454448
0.0013893867,0.90014327,5.6905174e-06,0.09273359,0.0033666943,0.00012071409,1.9080786e-09,0.0012039079,7.151445e-05,4.743084e-06,0.0009606358
0.00038165704,0.42509794,0.027868556,0.034615353,0.0486935,0.058999196,0.00011479088,0.03113788,0.012004227,0.30851394,0.052572936
0.00045636334,0.75475025,5.612221e-08,0.24399164,0.0005336759,7.0124105e-07,9.899868e-13,9.82609e-05,3.2469713e-06,2.11253e-08,0.00016593558
0.00033738997,0.002414096,0.00034395335,0.99609584,1.6514445e-05,9.499134e-06,5.9958015e-06,0.0001637344,1.3961031e-06,9.732586e-09,0.00061160733
0.05324339,0.0070725414,0.058631696,0.78615427,0.0002220153,3.5752055e-05,0.063885674,0.00048420925,0.003990462,5.2943837e-05,0.026226968
4.821017e-05,5.1375555e-06,0.04348166,0.025868263,0.021296151,0.010992134,0.020825783,0.7643378,0.00016393045,0.10971368,0.0032673068
0.9504947,0.00017927018,9.392629e-06,1.2059327e-07,0.0020555104,0.0005249263,0.042752214,0.00065808266,0.002654648,9.014064e-05,0.0005810185
0.76599056,8.68435e-06,0.034181,0.017034402,0.06821509,2.3917939e-09,0.113165,1.3834288e-07,0.0014014943,6.185708e-08,3.5958387e-06
0.0011884505,8.836093e-06,0.0020097387,0.78427494,3.542864e-05,0.07793969,0.02277124,0.08862133,0.0002406936,3.0305858e-07,0.022909397
0.000118472824,0.0031635172,0.0015930133,0.9802429,0.0075698877,5.9192216e-09,3.480184e-08,1.2332936e-07,3.026087e-05,1.8962987e-11,0.0072817192
2.8505707e-05,0.00059438165,0.29917884,0.68171585,0.00037327613,2.6026681e-08,2.9091503e-05,0.0018562183,0.00932765,0.0068917205,4.4416965e-06
7.6076306e-10,0.0005514123,0.0046538133,0.8648018,0.0004623766,8.101244e-07,3.686656e-10,9.089514e-05,3.6149657e-05,6.963677e-07,0.12940198
3.0120408e-09,0.002558923,0.013579708,0.9132057,0.0002694987,5.346213e-07,2.2591913e-09,5.029641e-05,0.00012959256,4.125782e-06,0.070201606
0.13010639,0.024043888,0.11710238,0.0036619604,0.0068930984,0.00950705,0.4282948,0.00042059782,0.1879549,0.00013593471,0.09187911
8.677925e-05,0.0019716427,0.008237831,0.003883902,0.0001432094,0.37158406,0.028061666,0.00997206,1.7491806e-05,0.56814593,0.007895413
0.0011877406,0.00041272707,0.00014343743,0.0016523944,0.9027543,0.00011522818,1.6346292e-05,7.412049e-05,9.698003e-09,0.05680635,0.036837325
7.310337e-05,5.539872e-05,0.1473423,0.74841046,0.09602919,6.9126656e-09,2.0372327e-06,6.8321446e-05,7.1591894e-06,8.946819e-06,0.008003027
0.00061935966,5.1172638e-06,0.00093031535,0.5249392,0.08471599,1.2324863e-07,1.6561461e-07,0.14972408,0.22468993,4.0878535e-06,0.014371681
0.00057782495,1.3310375e-05,3.7637883e-06,3.6169465e-06,2.0114807e-05,0.38349047,0.019471496,0.5191377,0.0006908072,0.034613263,0.04197761
0.00011548701,1.2898074e-06,2.737014e-06,2.7507626e-06,0.0003066094,0.42524886,0.0067331637,0.536126,0.00043987762,0.030886658,0.00013649742
6.290724e-05,1.8549392e-06,1.0354736e-05,4.406386e-06,2.0147227e-05,0.60454,0.02207392,0.027571298,0.0034677228,0.34206042,0.0001869707
6.3656014e-05,0.00023964858,0.005019469,0.0019368145,0.00017134116,0.58176273,0.07208558,0.113369025,0.0019225377,0.22196436,0.0014648006
0.00022304316,4.0057454e-05,0.00018763855,5.729552e-06,6.3558655e-06,0.75465006,0.22994213,0.014932462,7.0395436e-06,5.618483e-07,4.8895977e-06
0.08495696,0.017683836,0.032826915,0.003128793,0.005519636,0.0012158919,0.2345117,0.00031715442,0.31332693,0.30648917,2.298375e-05
0.0029471023,9.2843475e-09,0.0029514085,0.0025905382,0.96757644,1.5866834e-06,0.004127068,0.00321855,0.01583741,0.0007013148,4.859353e-05
1.8481919e-06,0.03188205,0.5566575,0.082863465,3.6513813e-06,0.026619067,0.14291127,0.0025685888,5.3712793e-06,0.15595536,0.0005317651
0.42284268,0.00011204103,0.027219715,0.0047179605,0.01451723,1.2263375e-07,0.530227,1.2555553e-06,0.00027844307,2.587804e-05,5.768643e-05
0.07523247,0.082328364,0.45578578,0.049146704,0.036392815,8.7744804e-05,0.13149509,6.834211e-05,0.13426028,0.00049600267,0.03470639
9.8357115e-05,0.41077486,0.43552324,0.030753974,0.00037675633,7.840004e-06,0.009240184,3.64681e-06,1.7403981e-05,0.106091194,0.007112603
0.00014343255,0.32617092,0.3918064,0.0643941,0.00050316035,0.034595948,0.017829863,0.024973959,0.00014404407,0.1298066,0.009631673
5.793786e-05,0.21459621,0.28808317,0.30265045,5.670322e-06,0.0005809389,0.025243748,0.00010040348,0.0042956164,0.044793982,0.11959183
