"","B cells","Dendritic cells","Endothelial cells","Epithelial cells","Fibroblasts","Monocytes and Macrophages","NK cells","PCs","PVL","T cells CD4","T cells CD8"
"1",0,0.0661216072889478,0,0.671208742799674,0.0425445451615448,0.141520012883943,0,0.0256424962579863,0,0.0529625956079039,0
"2",0.033591445791159,0,0,0.275513896410587,0.258416763470261,0.288542504243046,0,0.143935390084947,0,0,0
"3",0,0,0,0.168020645972329,0.125916912835413,0,0,0.706062441192258,0,0,0
"4",0,0,0,0,0.821236426151591,0.162952292224232,0,0.0158112816241775,0,0,0
"5",0,0.0114087384120968,0,0.042869324889919,0.386361661190658,0.00037905341696502,0,0.558981222090362,0,0,0
"6",0,0.0260313915494717,0,0.0343339043028349,0.315073698743995,0.0276296326362853,0,0.596931372767413,0,0,0
"7",0,0,0,0.0214463890454915,0.417065072129222,0.310990525572574,0,0.250498013252712,0,0,0
"8",0,0,0,0.0935186343698759,0.36922332414178,0.318116381551904,0,0.21914165993644,0,0,0
"9",0,0.0762819649356577,0.107456001164337,0.244967406377748,0.125606381311309,0.0747918121477348,0.0468885594688541,0.273653668400051,0,0.0492299382556541,0.00112426793865524
"10",0,0,0,0.151984012516218,0.279574414138364,0.0609111091639219,0,0.507530464181496,0,0,0
"11",0,0.0577121922022119,0,0.912503085707165,0.00654912493613051,0.0196754126626853,0,0.00356018449180687,0,0,0
"12",0,0.108944105848913,0,0.663800871246686,0.0783616959200106,0.0720214520262303,0.011118872423888,0.000533304036418519,0,0.0652196984978536,0
"13",0,0.0173030884630401,0.0038973899266021,0.638234270726162,0.0614098399002428,0.0599330595679045,0.0574333106106714,0.0395624381020701,0,0.0971267860077478,0.0250998166955591
"14",0,0,0,0,0.897752109127169,0,0,0.102247890872831,0,0,0
"15",0,0.0794702445781331,0,0.262830819111356,0.319097374907482,0.274077440169798,0,0.0645241212332312,0,0,0
"16",0.00701292115894728,0.0702015379173234,0,0.0148243330273438,0.573328463768825,0.0921154523985735,0.0330843261484219,0.209432965580565,0,0,0
"17",0,0.120104631119113,0,0.391040618163542,0.163387612712435,0.0818254054114412,0.025211519747171,0.0900335875034917,0,0.127657477628759,0.000739147714047679
"18",0,0,0,0.344946431638018,0.37216775655629,0.167043152236625,0,0.115842659569067,0,0,0
"19",0,0,0,0.207529918127033,0.324998720426742,0.288933725231345,0,0.17853763621488,0,0,0
"20",0,0,0,0,0.230923757430374,0.402388567851222,0,0.366687674718404,0,0,0
"21",0,0,0,0,0.319332424782574,0.0528909241608078,0,0.627776651056618,0,0,0
"22",0,0.0613396788497664,0.0430862535425001,0.195582361493499,0.302507993261092,0.105321488117793,0.0920837625748667,0.0870713770911457,0,0.0739774244126765,0.0390296606566601
"23",0,0,0,0,0.0990095586050815,0.568322456816799,0,0.33266798457812,0,0,0
"24",0,0,0,0.133819684921991,0.160078019139917,0.415987296092805,0,0.290114999845287,0,0,0
"25",0,0.0835142906150146,0,0.549122764650855,0.0773243761541908,0.108596352273457,0.0224666000386251,0.0226426397512971,0,0.13633297651656,0
"26",0,0.0203733148212973,0,0.722064507708583,0.062921179916566,0.0535629061805044,0.034301680082318,0.0291531373733608,0,0.0752199164777159,0.00240335743965469
"27",0,0,0,0.0366435331935975,0.783077645814326,0.112968035951304,0,0.0673107850407721,0,0,0
"28",0,0.0341653199538866,0,0.773670551521221,0.0401200649090474,0.0550348123854746,0.00973167389062596,0.0397553512126038,0,0.047522226127141,0
"29",0,0.00542699641810481,0,0.390903959717799,0.134445279007449,0.31637524521112,0.0293541118847716,0.0268227380136652,0,0.0966716697470899,0
"30",0,0.0425765056894968,0,0.214489651358357,0.291890581785726,0.0281817356156577,0,0.422861525550762,0,0,0
