,GC,PGC,M.TC,OSNs,EPL.IN
22x23,5.77E-01,1.51E-01,1.28E-01,1.20E-01,2.42E-02
21x23,5.77E-01,1.53E-01,1.28E-01,1.18E-01,2.42E-02
21x25,5.67E-01,1.55E-01,1.33E-01,1.19E-01,2.53E-02
22x25,5.97E-01,1.46E-01,1.21E-01,1.14E-01,2.19E-02
23x25,6.35E-01,1.35E-01,1.05E-01,1.07E-01,1.78E-02
24x25,5.99E-01,1.44E-01,1.14E-01,1.20E-01,2.31E-02
18x16,5.78E-01,1.53E-01,1.26E-01,1.18E-01,2.41E-02
17x16,6.01E-01,1.45E-01,1.16E-01,1.16E-01,2.20E-02
19x16,5.73E-01,1.50E-01,1.27E-01,1.25E-01,2.51E-02
20x16,5.51E-01,1.55E-01,1.35E-01,1.32E-01,2.82E-02
22x16,5.69E-01,1.55E-01,1.30E-01,1.21E-01,2.53E-02
21x16,5.52E-01,1.56E-01,1.30E-01,1.32E-01,2.95E-02
23x16,5.64E-01,1.56E-01,1.31E-01,1.24E-01,2.59E-02
24x16,5.70E-01,1.54E-01,1.30E-01,1.22E-01,2.51E-02
26x16,5.50E-01,1.58E-01,1.31E-01,1.32E-01,2.97E-02
25x16,5.80E-01,1.51E-01,1.26E-01,1.19E-01,2.40E-02
27x16,5.46E-01,1.55E-01,1.36E-01,1.34E-01,2.91E-02
10x16,5.72E-01,1.51E-01,1.27E-01,1.25E-01,2.54E-02
12x16,5.61E-01,1.53E-01,1.30E-01,1.29E-01,2.69E-02
11x16,5.65E-01,1.50E-01,1.30E-01,1.28E-01,2.64E-02
13x16,5.85E-01,1.51E-01,1.22E-01,1.19E-01,2.36E-02
14x16,5.79E-01,1.51E-01,1.26E-01,1.19E-01,2.42E-02
16x16,6.36E-01,1.35E-01,1.04E-01,1.07E-01,1.79E-02
15x16,6.09E-01,1.42E-01,1.13E-01,1.14E-01,2.11E-02
17x15,5.77E-01,1.53E-01,1.28E-01,1.18E-01,2.43E-02
18x15,5.69E-01,1.54E-01,1.27E-01,1.24E-01,2.55E-02
12x15,5.67E-01,1.51E-01,1.28E-01,1.28E-01,2.62E-02
11x15,5.37E-01,1.61E-01,1.37E-01,1.33E-01,3.18E-02
15x15,5.83E-01,1.50E-01,1.24E-01,1.19E-01,2.37E-02
16x15,5.36E-01,1.63E-01,1.37E-01,1.32E-01,3.16E-02
13x15,5.57E-01,1.56E-01,1.29E-01,1.29E-01,2.90E-02
14x15,5.65E-01,1.55E-01,1.31E-01,1.23E-01,2.61E-02
23x15,5.85E-01,1.51E-01,1.24E-01,1.17E-01,2.34E-02
24x15,5.80E-01,1.53E-01,1.24E-01,1.19E-01,2.41E-02
22x15,5.78E-01,1.54E-01,1.24E-01,1.19E-01,2.43E-02
25x15,5.55E-01,1.56E-01,1.33E-01,1.29E-01,2.77E-02
18x14,5.36E-01,1.60E-01,1.36E-01,1.36E-01,3.20E-02
17x14,6.98E-01,3.65E-02,3.08E-02,2.27E-01,7.35E-03
15x14,5.54E-01,1.58E-01,1.30E-01,1.30E-01,2.90E-02
16x14,5.77E-01,1.52E-01,1.26E-01,1.21E-01,2.44E-02
14x14,5.66E-01,1.54E-01,1.30E-01,1.24E-01,2.61E-02
10x26,6.28E-01,1.38E-01,1.06E-01,1.10E-01,1.92E-02
11x26,5.85E-01,1.49E-01,1.24E-01,1.19E-01,2.33E-02
12x26,6.34E-01,1.35E-01,1.05E-01,1.07E-01,1.80E-02
14x26,6.35E-01,1.35E-01,1.05E-01,1.07E-01,1.79E-02
13x26,6.48E-01,1.31E-01,9.98E-02,1.04E-01,1.66E-02
15x26,6.14E-01,1.41E-01,1.10E-01,1.14E-01,2.11E-02
16x26,5.93E-01,1.46E-01,1.16E-01,1.21E-01,2.40E-02
25x26,6.53E-01,1.30E-01,9.81E-02,1.03E-01,1.61E-02
26x26,5.86E-01,1.50E-01,1.26E-01,1.15E-01,2.31E-02
27x26,5.64E-01,1.55E-01,1.31E-01,1.24E-01,2.59E-02
28x26,5.81E-01,1.52E-01,1.25E-01,1.18E-01,2.39E-02
29x26,5.53E-01,1.58E-01,1.29E-01,1.29E-01,3.03E-02
17x26,6.23E-01,1.39E-01,1.09E-01,1.09E-01,1.91E-02
18x26,5.41E-01,1.62E-01,1.36E-01,1.30E-01,3.09E-02
19x26,5.49E-01,1.59E-01,1.36E-01,1.28E-01,2.84E-02
20x26,5.59E-01,1.54E-01,1.32E-01,1.28E-01,2.72E-02
21x26,5.87E-01,1.51E-01,1.23E-01,1.16E-01,2.33E-02
22x26,6.05E-01,1.44E-01,1.17E-01,1.13E-01,2.09E-02
24x26,6.44E-01,1.32E-01,1.02E-01,1.05E-01,1.70E-02
23x26,6.39E-01,1.34E-01,1.04E-01,1.06E-01,1.75E-02
23x28,5.88E-01,1.49E-01,1.22E-01,1.18E-01,2.28E-02
24x28,5.82E-01,1.49E-01,1.25E-01,1.20E-01,2.38E-02
24x27,6.18E-01,1.40E-01,1.07E-01,1.15E-01,2.06E-02
23x27,5.89E-01,1.52E-01,1.32E-01,1.05E-01,2.13E-02
22x28,5.70E-01,1.53E-01,1.25E-01,1.26E-01,2.68E-02
22x27,5.82E-01,1.50E-01,1.25E-01,1.19E-01,2.35E-02
27x27,5.89E-01,1.49E-01,1.20E-01,1.19E-01,2.41E-02
27x28,5.68E-01,1.53E-01,1.29E-01,1.24E-01,2.56E-02
25x27,6.02E-01,1.44E-01,1.17E-01,1.15E-01,2.18E-02
26x28,5.84E-01,1.51E-01,1.24E-01,1.18E-01,2.36E-02
25x28,5.70E-01,1.54E-01,1.29E-01,1.22E-01,2.50E-02
26x27,5.78E-01,1.51E-01,1.26E-01,1.21E-01,2.43E-02
16x27,6.36E-01,1.35E-01,1.05E-01,1.06E-01,1.78E-02
16x28,6.15E-01,1.41E-01,1.13E-01,1.11E-01,1.99E-02
15x27,6.11E-01,1.38E-01,1.13E-01,1.18E-01,2.10E-02
15x28,6.24E-01,1.38E-01,1.09E-01,1.10E-01,1.90E-02
13x27,6.23E-01,1.39E-01,1.09E-01,1.10E-01,1.91E-02
14x28,5.91E-01,1.48E-01,1.24E-01,1.15E-01,2.24E-02
14x27,6.34E-01,1.35E-01,1.05E-01,1.07E-01,1.80E-02
13x28,5.88E-01,1.49E-01,1.23E-01,1.17E-01,2.28E-02
11x27,5.83E-01,1.51E-01,1.26E-01,1.17E-01,2.36E-02
12x28,5.87E-01,1.50E-01,1.24E-01,1.16E-01,2.31E-02
12x27,5.84E-01,1.50E-01,1.24E-01,1.18E-01,2.33E-02
17x27,5.70E-01,1.54E-01,1.26E-01,1.24E-01,2.70E-02
18x28,5.85E-01,1.51E-01,1.24E-01,1.17E-01,2.35E-02
18x27,5.68E-01,1.55E-01,1.32E-01,1.21E-01,2.53E-02
17x28,5.80E-01,1.52E-01,1.26E-01,1.19E-01,2.38E-02
14x29,6.11E-01,1.42E-01,1.14E-01,1.13E-01,2.05E-02
16x29,5.95E-01,1.47E-01,1.20E-01,1.16E-01,2.23E-02
15x29,5.84E-01,1.49E-01,1.23E-01,1.20E-01,2.46E-02
17x29,5.63E-01,1.61E-01,1.27E-01,1.22E-01,2.71E-02
10x27,5.80E-01,1.51E-01,1.21E-01,1.23E-01,2.57E-02
8x23,5.72E-01,1.52E-01,1.29E-01,1.22E-01,2.52E-02
21x27,5.95E-01,1.47E-01,1.18E-01,1.18E-01,2.29E-02
19x27,5.51E-01,1.56E-01,1.35E-01,1.30E-01,2.82E-02
28x27,5.75E-01,1.51E-01,1.24E-01,1.24E-01,2.62E-02
24x29,5.52E-01,1.56E-01,1.32E-01,1.30E-01,2.97E-02
25x29,5.61E-01,1.56E-01,1.27E-01,1.27E-01,2.79E-02
30x19,5.43E-01,1.58E-01,1.36E-01,1.33E-01,3.09E-02
